Trường: Trường Đại Học Bà Rịa – Vũng Tàu (Mã: BVU)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (15ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (39ngành)
- X01: Ngữ văn, Toán, GDKTPL (20ngành)
- A00: Toán, Vật lí, Hóa học (17ngành)
- C04: Ngữ văn, Toán, Địa lí (15ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (43ngành)
- C02: Toán, Ngữ Văn, Hóa học (15ngành)
- A01: Toán, Vật lí, Tiếng Anh (58ngành)
- D07: Toán, Hóa học, Tiếng Anh (30ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (49ngành)
- B00: Toán, Hóa học, Sinh học (2ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (30ngành)
- D06: Ngữ văn, Toán, Tiếng Nhật (30ngành)
- D10: Toán, Địa lí, Tiếng Anh (43ngành)
- B08: Toán, Sinh học, Tiếng Anh (9ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (34ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (24ngành)
- D08: Toán, Sinh học, Tiếng Anh (11ngành)
- D09: Toán, Lịch sử, Tiếng Anh (43ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (34ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (9ngành)
- D28: Toán, Vật lí, Tiếng Nhật (30ngành)
- X21: Toán, Địa lí, GDKTPL (15ngành)
- D23: Toán, Hóa học, Tiếng Nhật (2ngành)
- D30: Toán, Vật lí, Tiếng Trung (30ngành)
- D25: Toán, Hóa học, Tiếng Trung (2ngành)
- AH1: Toán, Địa lí, Tiếng Hàn (15ngành)
- B03: Toán, Ngữ văn, Sinh học (15ngành)
- C08: Ngữ văn, Hóa học, Sinh học (2ngành)
- X05: Toán, Vật lí, GDKTPL (15ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (15ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (9ngành)
- D13: Ngữ văn, Sinh học, Tiếng Anh (9ngành)
- X09: Toán, Hóa học, GDKTPL (15ngành)
- D12: Ngữ văn, Hóa học, Tiếng Anh (9ngành)
- D45: Ngữ văn, Địa lí, Tiếng Trung (15ngành)
- D63: Ngữ văn, Lịch sử, Tiếng Nhật (15ngành)
- D33: Toán, Sinh học, Tiếng Nhật (2ngành)
- D35: Toán, Sinh học, Tiếng Trung (2ngành)
- D43: Ngữ văn, Địa lí, Tiếng Nhật (15ngành)
- D65: Ngữ văn, Lịch sử, Tiếng Trung (15ngành)
- X24: Toán, Địa lí, Công nghệ nông nghiệp (34ngành)
- X23: Toán, Địa lí, Công nghệ công nghiệp (34ngành)
- X02, K21, TH6, DK, F01, TH3: Toán, Ngữ văn, Tin học (49ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (15ngành)
- X08: Toán, Vật lí, Công nghệ nông nghiệp (34ngành)
- X07, A0C, TH3, TH4: Toán, Vật lí, Công nghệ công nghiệp (34ngành)
- X11, B0C, TH5: Toán, Hóa học, Công nghệ công nghiệp (15ngành)
- X27; D0C; K20; TH5; TH7: Toán, Tiếng Anh, Công nghệ công nghiệp (49ngành)
- X28, K20, D0C: Toán, Tiếng Anh, Công nghệ nông nghiệp (49ngành)
- X12: Toán, Hóa học, Công nghệ nông nghiệp (15ngành)
- X14: Toán, Sinh học, Tin học (2ngành)
- D18: Toán, Địa lí, Tiếng Nhật (15ngành)
- X10, TH4: Toán, Hoá, Tin (17ngành)
- X03; TH8; K22; E01: Toán, Ngữ văn, Công nghệ công nghiệp (34ngành)
- K01: Toán, Văn, Lý/Hóa/Sinh/Tin (15ngành)
- X04; TH8; K22; E01: Toán, Ngữ văn, Công nghệ nông nghiệp (34ngành)
- AH3: Toán, Vật lí, Tiếng Hàn (30ngành)
- D38: Toán, Lịch sử, Tiếng Nhật (15ngành)
- D40: Toán, Lịch sử, Tiếng Trung (15ngành)
- X57: Toán, Tin học, Công nghệ nông nghiệp (15ngành)
- X19: Toán, Lịch sử, Công nghệ công nghiệp (34ngành)
- X20: Toán, Lịch sử, Công nghệ nông nghiệp (34ngành)
- X76: Ngữ văn, Địa lí, Công nghệ công nghiệp (34ngành)
- X77: Ngữ văn, Địa lí, Công nghệ nông nghiệp (34ngành)
- X72: Ngữ văn, Lịch sử, Công nghệ công nghiệp (34ngành)
- X73: Ngữ văn, Lịch sử, Công nghệ nông nghiệp (34ngành)
- X81: Ngữ văn, Tiếng Anh, Công nghệ nông nghiệp (43ngành)
- X80: Ngữ văn, Tiếng Anh, Công nghệ công nghiệp (43ngành)
- DH1: Ngữ văn, Địa lí, Tiếng Hàn (15ngành)
