Trường: Trường Đại học Nghệ An (Mã: CEA)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (15ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (2ngành)
- A00: Toán, Vật lí, Hóa học (11ngành)
- C04: Ngữ văn, Toán, Địa lí (1ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (2ngành)
- C01: Toán, Ngữ Văn, Vật lí (1ngành)
- A02: Toán, Vật lí, Sinh học (1ngành)
- A01: Toán, Vật lí, Tiếng Anh (16ngành)
- D07: Toán, Hóa học, Tiếng Anh (1ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (18ngành)
- B00: Toán, Hóa học, Sinh học (3ngành)
- D10: Toán, Địa lí, Tiếng Anh (3ngành)
- B08: Toán, Sinh học, Tiếng Anh (1ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (4ngành)
- D09: Toán, Lịch sử, Tiếng Anh (3ngành)
- M01: Ngữ văn, Lịch sử, Năng khiếu (1ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (2ngành)
- M00: Ngữ văn, Toán, Đọc diễn cảm, Hát (1ngành)
- M13: Toán, Sinh học, Năng khiếu (1ngành)
- M10: Toán, Tiếng Anh, NK1 (1ngành)
