Trường: Trường Đại Học CMC (Mã: CMC)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (18ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (13ngành)
- X01: Ngữ văn, Toán, GDKTPL (18ngành)
- A00: Toán, Vật lí, Hóa học (19ngành)
- C04: Ngữ văn, Toán, Địa lí (18ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (13ngành)
- C01: Toán, Ngữ Văn, Vật lí (18ngành)
- C02: Toán, Ngữ Văn, Hóa học (19ngành)
- D03: Ngữ văn, Toán, Tiếng Pháp (18ngành)
- A02: Toán, Vật lí, Sinh học (18ngành)
- A01: Toán, Vật lí, Tiếng Anh (18ngành)
- D07: Toán, Hóa học, Tiếng Anh (19ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (18ngành)
- B00: Toán, Hóa học, Sinh học (19ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (18ngành)
- D06: Ngữ văn, Toán, Tiếng Nhật (18ngành)
- D10: Toán, Địa lí, Tiếng Anh (18ngành)
- B08: Toán, Sinh học, Tiếng Anh (18ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (13ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (13ngành)
- D08: Toán, Sinh học, Tiếng Anh (18ngành)
- D09: Toán, Lịch sử, Tiếng Anh (18ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (13ngành)
- D05: Ngữ văn, Toán, Tiếng Đức (18ngành)
- D02: Ngữ văn, Toán, Tiếng Nga (18ngành)
- D29: Toán, Vật lí, Tiếng Pháp (18ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (13ngành)
- D28: Toán, Vật lí, Tiếng Nhật (18ngành)
- X21: Toán, Địa lí, GDKTPL (18ngành)
- D23: Toán, Hóa học, Tiếng Nhật (19ngành)
- D26: Toán, Vật lí, Tiếng Đức (18ngành)
- V00: Toán, Vật lí, Vẽ Hình họa mỹ thuật (18ngành)
- D24: Toán, Hóa học, Tiếng Pháp (19ngành)
- D27: Toán, Vật lí, Tiếng Nga (18ngành)
- D46: Ngữ văn, Hóa học, Tiếng Đức (13ngành)
- D21: Toán, Hóa học, Tiếng Đức (19ngành)
- D30: Toán, Vật lí, Tiếng Trung (18ngành)
- D47: Ngữ văn, Hóa học, Tiếng Nga (13ngành)
- D22: Toán, Hóa học, Tiếng Nga (19ngành)
- H00: Ngữ văn, Năng khiếu vẽ Nghệ thuật 1, Năng khiếu vẽ Nghệ thuật 2 (13ngành)
- D25: Toán, Hóa học, Tiếng Trung (19ngành)
- V01: Toán, Ngữ văn, Vẽ Hình họa mỹ thuật (18ngành)
- A07: Toán, Lịch sử, Địa lí (18ngành)
- AH1: Toán, Địa lí, Tiếng Hàn (18ngành)
- V02: Toán, Tiếng Anh, Vẽ mỹ thuật (18ngành)
- H01: Toán, Ngữ văn, Vẽ Mỹ thuật (18ngành)
- T00: Toán, Sinh học, Năng khiếu TDTT (18ngành)
- B03: Toán, Ngữ văn, Sinh học (18ngành)
- C08: Ngữ văn, Hóa học, Sinh học (13ngành)
- X25: Toán, Tiếng Anh, GDKTPL (18ngành)
- X13: Toán, Sinh học, GDKTPL (18ngành)
- A04: Toán, Vật lí, Địa lí (18ngành)
- T05: Ngữ văn, GDKTPL, Năng khiếu thể dục thể thao (13ngành)
- X05: Toán, Vật lí, GDKTPL (18ngành)
- M01: Ngữ văn, Lịch sử, Năng khiếu (13ngành)
- H06: Ngữ văn, Tiếng Anh,Vẽ mỹ thuật (13ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (18ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (13ngành)
- N00: Ngữ văn, Năng khiếu Âm nhạc 1, Năng khiếu Âm nhạc 2 (13ngành)
- M00: Ngữ văn, Toán, Đọc diễn cảm, Hát (18ngành)
- T02: Ngữ văn, Sinh, Năng khiếu TDTT (13ngành)
- T01: Toán, Ngữ văn, Năng khiếu TDTT (18ngành)
- D13: Ngữ văn, Sinh học, Tiếng Anh (13ngành)
- H02: Toán, Vẽ Hình họa mỹ thuật, Vẽ trang trí màu (18ngành)
- H04: Toán, Tiếng Anh, Vẽ Năng khiếu (18ngành)
- A05: Toán, Hóa học, Lịch sử (19ngành)
- T03: Ngữ văn, Địa, Năng khiếu TDTT (13ngành)
- A06: Toán, Hóa học, Địa lí (19ngành)
- X17: Toán, Lịch sử, GDKTPL (18ngành)
- X09: Toán, Hóa học, GDKTPL (19ngành)
- B02: Toán, Sinh học, Địa lí (18ngành)
- M02: Toán, Năng khiếu 1, Năng khiếu 2 (18ngành)
- C05: Ngữ văn, Vật lí, Hóa học (13ngành)
- D12: Ngữ văn, Hóa học, Tiếng Anh (13ngành)
- M09: Toán, NK Mầm non 1( kể chuyện, đọc, diễn cảm), NK Mầm non 2 (Hát) (18ngành)
- D45: Ngữ văn, Địa lí, Tiếng Trung (13ngành)
- M03: Văn, Năng khiếu 1, Năng khiếu 2 (13ngành)
- N01: Ngữ văn, xướng âm, biểu diễn nghệ thuật (13ngành)
- A03: Toán, Vật lí, Lịch sử (18ngành)
- D44: Ngữ văn, Địa lí, Tiếng Pháp (13ngành)
- D63: Ngữ văn, Lịch sử, Tiếng Nhật (13ngành)
- D64: Ngữ văn, Lịch sử, Tiếng Pháp (13ngành)
- M13: Toán, Sinh học, Năng khiếu (18ngành)
- V03: Vẽ mỹ thuật, Toán, Hóa (19ngành)
- H08: Ngữ văn, Lịch sử, Vẽ mỹ thuật (13ngành)
- T04: Toán, Lý, Năng khiếu TDTT (18ngành)
- V06: Toán, Địa lí, Vẽ mỹ thuật (18ngành)
- C13: Ngữ văn, Sinh học, Địa lí (13ngành)
- S00: Ngữ văn, Năng khiếu SKĐA 1, Năng khiếu SKĐA 2 (13ngành)
- D20: Toán, Địa lí, Tiếng Trung (18ngành)
- D33: Toán, Sinh học, Tiếng Nhật (18ngành)
- D42: Ngữ văn, Địa lí, Tiếng Nga (13ngành)
- D32: Toán, Sinh học, Tiếng Nga (18ngành)
- D34: Toán, Sinh học, Tiếng Pháp (18ngành)
- H07: Toán, Hình họa, Trang trí (18ngành)
- M10: Toán, Tiếng Anh, NK1 (18ngành)
- M11: Ngữ Văn, năng kiếu báo chí, Tiếng Anh (13ngành)
- V05: Văn, Vật lí, Vẽ mỹ thuật (13ngành)
