Trường: Trường Đại Học Bình Dương (Mã: DBD)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (11ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (4ngành)
- A00: Toán, Vật lí, Hóa học (15ngành)
- C04: Ngữ văn, Toán, Địa lí (11ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (3ngành)
- C01: Toán, Ngữ Văn, Vật lí (10ngành)
- C02: Toán, Ngữ Văn, Hóa học (3ngành)
- A02: Toán, Vật lí, Sinh học (2ngành)
- A01: Toán, Vật lí, Tiếng Anh (9ngành)
- D07: Toán, Hóa học, Tiếng Anh (3ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (16ngành)
- B00: Toán, Hóa học, Sinh học (3ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (3ngành)
- D09: Toán, Lịch sử, Tiếng Anh (1ngành)
- B03: Toán, Ngữ văn, Sinh học (3ngành)
- C08: Ngữ văn, Hóa học, Sinh học (2ngành)
