Trường: Trường Đại Học Bạc Liêu (Mã: DBL)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (10ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (1ngành)
- X01: Ngữ văn, Toán, GDKTPL (3ngành)
- A00: Toán, Vật lí, Hóa học (6ngành)
- C04: Ngữ văn, Toán, Địa lí (9ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (1ngành)
- C01: Toán, Ngữ Văn, Vật lí (11ngành)
- C02: Toán, Ngữ Văn, Hóa học (12ngành)
- A02: Toán, Vật lí, Sinh học (2ngành)
- A01: Toán, Vật lí, Tiếng Anh (5ngành)
- D07: Toán, Hóa học, Tiếng Anh (1ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (12ngành)
- B00: Toán, Hóa học, Sinh học (7ngành)
- B08: Toán, Sinh học, Tiếng Anh (5ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (1ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (1ngành)
- B03: Toán, Ngữ văn, Sinh học (11ngành)
- C08: Ngữ văn, Hóa học, Sinh học (2ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (1ngành)
- D13: Ngữ văn, Sinh học, Tiếng Anh (1ngành)
- D12: Ngữ văn, Hóa học, Tiếng Anh (1ngành)
- X02, K21, TH6, DK, F01, TH3: Toán, Ngữ văn, Tin học (1ngành)
- X79; TH9: Ngữ văn, Tiếng Anh, Tin học (1ngành)
- X04; TH8; K22; E01: Toán, Ngữ văn, Công nghệ nông nghiệp (4ngành)
