Trường: Trường Đại Học Công Nghệ Đồng Nai (Mã: DCD)
Các khối thi / tổ hợp xét tuyển:

- C00: Ngữ văn, Lịch sử, Địa lí (5ngành)
- X01: Ngữ văn, Toán, GDKTPL (19ngành)
- A00: Toán, Vật lí, Hóa học (16ngành)
- C04: Ngữ văn, Toán, Địa lí (21ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (6ngành)
- C01: Toán, Ngữ Văn, Vật lí (5ngành)
- C02: Toán, Ngữ Văn, Hóa học (5ngành)
- A02: Toán, Vật lí, Sinh học (2ngành)
- A01: Toán, Vật lí, Tiếng Anh (14ngành)
- D07: Toán, Hóa học, Tiếng Anh (2ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (22ngành)
- B00: Toán, Hóa học, Sinh học (4ngành)
- D10: Toán, Địa lí, Tiếng Anh (16ngành)
- B08: Toán, Sinh học, Tiếng Anh (4ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (5ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (6ngành)
- D09: Toán, Lịch sử, Tiếng Anh (16ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (5ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (6ngành)
- X21: Toán, Địa lí, GDKTPL (14ngành)
- A07: Toán, Lịch sử, Địa lí (8ngành)
- X13: Toán, Sinh học, GDKTPL (2ngành)
- A04: Toán, Vật lí, Địa lí (6ngành)
- X05: Toán, Vật lí, GDKTPL (6ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (3ngành)
- X02, K21, TH6, DK, F01, TH3: Toán, Ngữ văn, Tin học (12ngành)
- X14: Toán, Sinh học, Tin học (4ngành)
- X03; TH8; K22; E01: Toán, Ngữ văn, Công nghệ công nghiệp (21ngành)
- X79; TH9: Ngữ văn, Tiếng Anh, Tin học (6ngành)
- X04; TH8; K22; E01: Toán, Ngữ văn, Công nghệ nông nghiệp (2ngành)
