Trường: Đại Học Công Nghiệp Hà Nội (Mã: DCN)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (1ngành)
- A00: Toán, Vật lí, Hóa học (41ngành)
- C04: Ngữ văn, Toán, Địa lí (1ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (9ngành)
- C01: Toán, Ngữ Văn, Vật lí (1ngành)
- C02: Toán, Ngữ Văn, Hóa học (5ngành)
- A02: Toán, Vật lí, Sinh học (3ngành)
- A01: Toán, Vật lí, Tiếng Anh (50ngành)
- D07: Toán, Hóa học, Tiếng Anh (5ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (30ngành)
- B00: Toán, Hóa học, Sinh học (6ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (3ngành)
- D06: Ngữ văn, Toán, Tiếng Nhật (1ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (8ngành)
- D08: Toán, Sinh học, Tiếng Anh (1ngành)
- B03: Toán, Ngữ văn, Sinh học (1ngành)
- X25: Toán, Tiếng Anh, GDKTPL (14ngành)
- X05: Toán, Vật lí, GDKTPL (2ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (34ngành)
- X07, A0C, TH3, TH4: Toán, Vật lí, Công nghệ công nghiệp (34ngành)
- DD2: Ngữ văn, Toán, Tiếng Hàn (1ngành)
