Trường: Trường Đại Học Công Nghệ Đông Á (Mã: DDA)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (16ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (6ngành)
- A00: Toán, Vật lí, Hóa học (20ngành)
- C04: Ngữ văn, Toán, Địa lí (6ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (6ngành)
- C01: Toán, Ngữ Văn, Vật lí (24ngành)
- C02: Toán, Ngữ Văn, Hóa học (24ngành)
- A02: Toán, Vật lí, Sinh học (20ngành)
- A01: Toán, Vật lí, Tiếng Anh (18ngành)
- D07: Toán, Hóa học, Tiếng Anh (20ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (24ngành)
- B00: Toán, Hóa học, Sinh học (3ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (6ngành)
- D06: Ngữ văn, Toán, Tiếng Nhật (6ngành)
- D10: Toán, Địa lí, Tiếng Anh (8ngành)
- B08: Toán, Sinh học, Tiếng Anh (2ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (6ngành)
- D08: Toán, Sinh học, Tiếng Anh (1ngành)
- A07: Toán, Lịch sử, Địa lí (18ngành)
- B03: Toán, Ngữ văn, Sinh học (2ngành)
- A05: Toán, Hóa học, Lịch sử (18ngành)
- A06: Toán, Hóa học, Địa lí (18ngành)
- B02: Toán, Sinh học, Địa lí (2ngành)
- A03: Toán, Vật lí, Lịch sử (20ngành)
- B01: Toán, Lịch sử, Sinh học (2ngành)
