Trường: Trường Đại Học Đại Nam (Mã: DDN)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (55ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (47ngành)
- X01: Ngữ văn, Toán, GDKTPL (49ngành)
- A00: Toán, Vật lí, Hóa học (65ngành)
- C04: Ngữ văn, Toán, Địa lí (55ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (46ngành)
- C01: Toán, Ngữ Văn, Vật lí (63ngành)
- C02: Toán, Ngữ Văn, Hóa học (55ngành)
- D03: Ngữ văn, Toán, Tiếng Pháp (47ngành)
- A02: Toán, Vật lí, Sinh học (55ngành)
- A01: Toán, Vật lí, Tiếng Anh (62ngành)
- D07: Toán, Hóa học, Tiếng Anh (60ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (61ngành)
- B00: Toán, Hóa học, Sinh học (56ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (49ngành)
- D06: Ngữ văn, Toán, Tiếng Nhật (47ngành)
- D10: Toán, Địa lí, Tiếng Anh (47ngành)
- B08: Toán, Sinh học, Tiếng Anh (51ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (43ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (46ngành)
- D08: Toán, Sinh học, Tiếng Anh (49ngành)
- D09: Toán, Lịch sử, Tiếng Anh (47ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (43ngành)
- D05: Ngữ văn, Toán, Tiếng Đức (47ngành)
- D02: Ngữ văn, Toán, Tiếng Nga (47ngành)
- D29: Toán, Vật lí, Tiếng Pháp (52ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (44ngành)
- D28: Toán, Vật lí, Tiếng Nhật (52ngành)
- X21: Toán, Địa lí, GDKTPL (47ngành)
- D23: Toán, Hóa học, Tiếng Nhật (52ngành)
- D26: Toán, Vật lí, Tiếng Đức (52ngành)
- V00: Toán, Vật lí, Vẽ Hình họa mỹ thuật (52ngành)
- D24: Toán, Hóa học, Tiếng Pháp (52ngành)
- D27: Toán, Vật lí, Tiếng Nga (52ngành)
- D46: Ngữ văn, Hóa học, Tiếng Đức (43ngành)
- D21: Toán, Hóa học, Tiếng Đức (52ngành)
- D30: Toán, Vật lí, Tiếng Trung (52ngành)
- D47: Ngữ văn, Hóa học, Tiếng Nga (43ngành)
