Trường: Trường Du Lịch - Đại Học Huế (Mã: DHD)
Các khối thi / tổ hợp xét tuyển:

- C00: Ngữ văn, Lịch sử, Địa lí (4ngành)
- X01: Ngữ văn, Toán, GDKTPL (4ngành)
- C04: Ngữ văn, Toán, Địa lí (4ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (5ngành)
- C01: Toán, Ngữ Văn, Vật lí (4ngành)
- C02: Toán, Ngữ Văn, Hóa học (4ngành)
- A01: Toán, Vật lí, Tiếng Anh (2ngành)
- D07: Toán, Hóa học, Tiếng Anh (2ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (7ngành)
- D10: Toán, Địa lí, Tiếng Anh (2ngành)
- B08: Toán, Sinh học, Tiếng Anh (2ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (4ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (5ngành)
- D08: Toán, Sinh học, Tiếng Anh (2ngành)
- D09: Toán, Lịch sử, Tiếng Anh (2ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (4ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (5ngành)
- X25: Toán, Tiếng Anh, GDKTPL (2ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (2ngành)
- X27; D0C; K20; TH5; TH7: Toán, Tiếng Anh, Công nghệ công nghiệp (2ngành)
- X28, K20, D0C: Toán, Tiếng Anh, Công nghệ nông nghiệp (2ngành)
