Trường: Trường Đại Học Ngoại Ngữ Huế (Mã: DHF)
Các khối thi / tổ hợp xét tuyển:

- C00: Ngữ văn, Lịch sử, Địa lí (1ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (9ngành)
- D03: Ngữ văn, Toán, Tiếng Pháp (2ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (13ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (2ngành)
- D06: Ngữ văn, Toán, Tiếng Nhật (1ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (13ngành)
- D02: Ngữ văn, Toán, Tiếng Nga (1ngành)
- D45: Ngữ văn, Địa lí, Tiếng Trung (2ngành)
- D44: Ngữ văn, Địa lí, Tiếng Pháp (2ngành)
- D64: Ngữ văn, Lịch sử, Tiếng Pháp (1ngành)
- D42: Ngữ văn, Địa lí, Tiếng Nga (1ngành)
- D43: Ngữ văn, Địa lí, Tiếng Nhật (1ngành)
- D62: Ngữ văn, Lịch sử, Tiếng Nga (1ngành)
- DH1: Ngữ văn, Địa lí, Tiếng Hàn (1ngành)
- DH5: Ngữ văn, Lịch sử, Tiếng Hàn (1ngành)
