Trường: Trường Đại Học Nông Lâm Huế (Mã: DHL)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (9ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (4ngành)
- X01: Ngữ văn, Toán, GDKTPL (8ngành)
- A00: Toán, Vật lí, Hóa học (11ngành)
- C04: Ngữ văn, Toán, Địa lí (15ngành)
- C01: Toán, Ngữ Văn, Vật lí (9ngành)
- C02: Toán, Ngữ Văn, Hóa học (4ngành)
- A01: Toán, Vật lí, Tiếng Anh (6ngành)
- D07: Toán, Hóa học, Tiếng Anh (1ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (16ngành)
- B00: Toán, Hóa học, Sinh học (10ngành)
- B08: Toán, Sinh học, Tiếng Anh (2ngành)
- X21: Toán, Địa lí, GDKTPL (3ngành)
- A07: Toán, Lịch sử, Địa lí (2ngành)
- B03: Toán, Ngữ văn, Sinh học (6ngành)
- X17: Toán, Lịch sử, GDKTPL (3ngành)
- C07: Ngữ văn, Lịch sử, Vật lí (1ngành)
- C12: Ngữ văn, Lịch sử, Sinh học (2ngành)
- X12: Toán, Hóa học, Công nghệ nông nghiệp (7ngành)
- X04; TH8; K22; E01: Toán, Ngữ văn, Công nghệ nông nghiệp (16ngành)
- X55: Toán, GDKTPL, Công nghệ nông nghiệp (3ngành)
- Y09: Ngữ văn, GDKTPL, Công nghệ nông nghiệp (2ngành)
