Trường: Trường Đại Học Khoa Học Huế (Mã: DHT)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (5ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (9ngành)
- X01: Ngữ văn, Toán, GDKTPL (4ngành)
- A00: Toán, Vật lí, Hóa học (12ngành)
- C04: Ngữ văn, Toán, Địa lí (2ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (6ngành)
- C01: Toán, Ngữ Văn, Vật lí (3ngành)
- C02: Toán, Ngữ Văn, Hóa học (2ngành)
- A02: Toán, Vật lí, Sinh học (1ngành)
- A01: Toán, Vật lí, Tiếng Anh (5ngành)
- D07: Toán, Hóa học, Tiếng Anh (2ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (15ngành)
- B00: Toán, Hóa học, Sinh học (5ngành)
- D06: Ngữ văn, Toán, Tiếng Nhật (1ngành)
- D10: Toán, Địa lí, Tiếng Anh (2ngành)
- B08: Toán, Sinh học, Tiếng Anh (1ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (10ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (2ngành)
- X21: Toán, Địa lí, GDKTPL (1ngành)
- B03: Toán, Ngữ văn, Sinh học (1ngành)
- X25: Toán, Tiếng Anh, GDKTPL (2ngành)
- A04: Toán, Vật lí, Địa lí (1ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (3ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (2ngành)
- Q00: Tư duy định lượng, Tư duy định tính, Khoa học/ Tiếng Anh (24ngành)
