Trường: Trường Đại học Hùng Vương TPHCM (Mã: DHV)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (5ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (10ngành)
- A00: Toán, Vật lí, Hóa học (16ngành)
- C04: Ngữ văn, Toán, Địa lí (3ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (1ngành)
- C01: Toán, Ngữ Văn, Vật lí (1ngành)
- C02: Toán, Ngữ Văn, Hóa học (1ngành)
- A01: Toán, Vật lí, Tiếng Anh (16ngành)
- D07: Toán, Hóa học, Tiếng Anh (2ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (18ngành)
- B00: Toán, Hóa học, Sinh học (1ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (1ngành)
- D10: Toán, Địa lí, Tiếng Anh (1ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (1ngành)
- B03: Toán, Ngữ văn, Sinh học (1ngành)
- C12: Ngữ văn, Lịch sử, Sinh học (1ngành)
