Trường: Trường Đại học Công Nghệ TPHCM (Mã: DKC)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (58ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (36ngành)
- X01: Ngữ văn, Toán, GDKTPL (54ngành)
- A00: Toán, Vật lí, Hóa học (53ngành)
- C04: Ngữ văn, Toán, Địa lí (58ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (30ngành)
- C01: Toán, Ngữ Văn, Vật lí (33ngành)
- C02: Toán, Ngữ Văn, Hóa học (28ngành)
- D03: Ngữ văn, Toán, Tiếng Pháp (4ngành)
- A01: Toán, Vật lí, Tiếng Anh (53ngành)
- D07: Toán, Hóa học, Tiếng Anh (5ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (59ngành)
- B00: Toán, Hóa học, Sinh học (5ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (4ngành)
- D06: Ngữ văn, Toán, Tiếng Nhật (4ngành)
- D10: Toán, Địa lí, Tiếng Anh (49ngành)
- B08: Toán, Sinh học, Tiếng Anh (5ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (30ngành)
- D09: Toán, Lịch sử, Tiếng Anh (49ngành)
- D29: Toán, Vật lí, Tiếng Pháp (4ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (30ngành)
- D28: Toán, Vật lí, Tiếng Nhật (4ngành)
- V00: Toán, Vật lí, Vẽ Hình họa mỹ thuật (6ngành)
- D30: Toán, Vật lí, Tiếng Trung (4ngành)
- V01: Toán, Ngữ văn, Vẽ Hình họa mỹ thuật (6ngành)
- B03: Toán, Ngữ văn, Sinh học (10ngành)
- X25: Toán, Tiếng Anh, GDKTPL (10ngành)
- X13: Toán, Sinh học, GDKTPL (5ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (4ngành)
- B02: Toán, Sinh học, Địa lí (5ngành)
- D45: Ngữ văn, Địa lí, Tiếng Trung (4ngành)
- D44: Ngữ văn, Địa lí, Tiếng Pháp (4ngành)
- D63: Ngữ văn, Lịch sử, Tiếng Nhật (4ngành)
- D64: Ngữ văn, Lịch sử, Tiếng Pháp (4ngành)
- D43: Ngữ văn, Địa lí, Tiếng Nhật (4ngành)
- D55: Ngữ văn, Vật lí, Tiếng Trung (4ngành)
- D65: Ngữ văn, Lịch sử, Tiếng Trung (4ngành)
- B01: Toán, Lịch sử, Sinh học (5ngành)
- D54: Ngữ văn, Vật lí, Tiếng Pháp (4ngành)
- X98: Văn, GDKTPL, Tiếng Nhật (4ngành)
- X02, K21, TH6, DK, F01, TH3: Toán, Ngữ văn, Tin học (18ngành)
- X14: Toán, Sinh học, Tin học (5ngành)
- X03; TH8; K22; E01: Toán, Ngữ văn, Công nghệ công nghiệp (18ngành)
- X79; TH9: Ngữ văn, Tiếng Anh, Tin học (4ngành)
- X04; TH8; K22; E01: Toán, Ngữ văn, Công nghệ nông nghiệp (18ngành)
- AH3: Toán, Vật lí, Tiếng Hàn (4ngành)
- DD2: Ngữ văn, Toán, Tiếng Hàn (4ngành)
- X86: Ngữ văn, GDKTPL, Tiếng Pháp (4ngành)
- X45: Toán, GDKTPL, Tiếng Nhật (4ngành)
- X33: Toán, GDKTPL, Tiếng Pháp (4ngành)
- D53: Ngữ văn, Vật lí, Tiếng Nhật (4ngành)
- DH3: Ngữ văn, Vật lí, Tiếng Hàn (4ngành)
- X37; D89: Toán, GDKTPL, Tiếng Trung (4ngành)
- X90: Ngữ văn, GDKTPL, Tiếng Trung (4ngành)
- X49: Toán, GDKTPL, Tiếng Hàn (4ngành)
- X87: Ngữ văn, Tin học, Tiếng Pháp (4ngành)
- X99: Ngữ văn, Tin học, Tiếng Nhật (4ngành)
- Y03: Ngữ văn, GDKTPL, Tiếng Hàn (4ngành)
- Y04: Ngữ văn, Tin học, Tiếng Hàn (4ngành)
- DH1: Ngữ văn, Địa lí, Tiếng Hàn (4ngành)
- DH5: Ngữ văn, Lịch sử, Tiếng Hàn (4ngành)
