Trường: Trường Đại học Kiểm Sát (Mã: DKS)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (7ngành)
- A00: Toán, Vật lí, Hóa học (7ngành)
- C04: Ngữ văn, Toán, Địa lí (7ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (8ngành)
- C01: Toán, Ngữ Văn, Vật lí (7ngành)
- C02: Toán, Ngữ Văn, Hóa học (7ngành)
- A01: Toán, Vật lí, Tiếng Anh (8ngành)
- D07: Toán, Hóa học, Tiếng Anh (8ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (8ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (8ngành)
- D09: Toán, Lịch sử, Tiếng Anh (8ngành)
- Q00: Tư duy định lượng, Tư duy định tính, Khoa học/ Tiếng Anh (7ngành)
