Trường: Trường Đại Học Hải Dương (Mã: DKT)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (14ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (8ngành)
- X01: Ngữ văn, Toán, GDKTPL (12ngành)
- A00: Toán, Vật lí, Hóa học (21ngành)
- C04: Ngữ văn, Toán, Địa lí (16ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (5ngành)
- C01: Toán, Ngữ Văn, Vật lí (17ngành)
- C02: Toán, Ngữ Văn, Hóa học (17ngành)
- A02: Toán, Vật lí, Sinh học (11ngành)
- A01: Toán, Vật lí, Tiếng Anh (20ngành)
- D07: Toán, Hóa học, Tiếng Anh (6ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (24ngành)
- B00: Toán, Hóa học, Sinh học (8ngành)
- D10: Toán, Địa lí, Tiếng Anh (2ngành)
- B08: Toán, Sinh học, Tiếng Anh (2ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (5ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (4ngành)
- D09: Toán, Lịch sử, Tiếng Anh (2ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (5ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (2ngành)
- X21: Toán, Địa lí, GDKTPL (1ngành)
- A07: Toán, Lịch sử, Địa lí (1ngành)
- T00: Toán, Sinh học, Năng khiếu TDTT (1ngành)
- B03: Toán, Ngữ văn, Sinh học (2ngành)
- X25: Toán, Tiếng Anh, GDKTPL (1ngành)
- T05: Ngữ văn, GDKTPL, Năng khiếu thể dục thể thao (1ngành)
- X05: Toán, Vật lí, GDKTPL (1ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (2ngành)
- T02: Ngữ văn, Sinh, Năng khiếu TDTT (1ngành)
- T01: Toán, Ngữ văn, Năng khiếu TDTT (1ngành)
- T03: Ngữ văn, Địa, Năng khiếu TDTT (1ngành)
- X17: Toán, Lịch sử, GDKTPL (1ngành)
- B02: Toán, Sinh học, Địa lí (1ngành)
- D12: Ngữ văn, Hóa học, Tiếng Anh (2ngành)
- C09: Ngữ văn, Địa lí, Vật lí (2ngành)
- B01: Toán, Lịch sử, Sinh học (1ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (4ngành)
- X11, B0C, TH5: Toán, Hóa học, Công nghệ công nghiệp (1ngành)
- X12: Toán, Hóa học, Công nghệ nông nghiệp (1ngành)
- T06: Toán, Địa lý, Năng khiếu Thể dục thể thao (1ngành)
- X84: Ngữ văn, Công nghệ công nghiệp, Tiếng Nga (1ngành)
