Trường: Trường Đại Học Kinh Tế Công Nghiệp Long An (Mã: DLA)
Các khối thi / tổ hợp xét tuyển:

- C00: Ngữ văn, Lịch sử, Địa lí (1ngành)
- X01: Ngữ văn, Toán, GDKTPL (1ngành)
- A00: Toán, Vật lí, Hóa học (4ngành)
- C04: Ngữ văn, Toán, Địa lí (1ngành)
- C01: Toán, Ngữ Văn, Vật lí (2ngành)
- C02: Toán, Ngữ Văn, Hóa học (1ngành)
- A02: Toán, Vật lí, Sinh học (1ngành)
- A01: Toán, Vật lí, Tiếng Anh (2ngành)
- D07: Toán, Hóa học, Tiếng Anh (1ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (2ngành)
- B00: Toán, Hóa học, Sinh học (1ngành)
- B08: Toán, Sinh học, Tiếng Anh (1ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (3ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (2ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (2ngành)
- X21: Toán, Địa lí, GDKTPL (1ngành)
- B03: Toán, Ngữ văn, Sinh học (2ngành)
- C08: Ngữ văn, Hóa học, Sinh học (1ngành)
- X25: Toán, Tiếng Anh, GDKTPL (2ngành)
- D13: Ngữ văn, Sinh học, Tiếng Anh (2ngành)
- X17: Toán, Lịch sử, GDKTPL (1ngành)
- C05: Ngữ văn, Vật lí, Hóa học (1ngành)
- D12: Ngữ văn, Hóa học, Tiếng Anh (1ngành)
