Trường: Trường Đại Học Lao Động – Xã Hội (Cơ sở II) (Mã: DLS)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (1ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (2ngành)
- X01: Ngữ văn, Toán, GDKTPL (1ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (2ngành)
- C01: Toán, Ngữ Văn, Vật lí (1ngành)
- A01: Toán, Vật lí, Tiếng Anh (12ngành)
- D07: Toán, Hóa học, Tiếng Anh (1ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (14ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (1ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (1ngành)
- D09: Toán, Lịch sử, Tiếng Anh (3ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (1ngành)
- X21: Toán, Địa lí, GDKTPL (1ngành)
- X25: Toán, Tiếng Anh, GDKTPL (11ngành)
- X05: Toán, Vật lí, GDKTPL (4ngành)
- K00: Toán, Đọc hiểu, Tư duy Khoa học Giải quyết vấn đề (14ngành)
- Q00: Tư duy định lượng, Tư duy định tính, Khoa học/ Tiếng Anh (14ngành)
