Trường: Trường Đại Học Tài Chính Marketing (Mã: DMS)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (21ngành)
- X01: Ngữ văn, Toán, GDKTPL (21ngành)
- A00: Toán, Vật lí, Hóa học (21ngành)
- C04: Ngữ văn, Toán, Địa lí (21ngành)
- C01: Toán, Ngữ Văn, Vật lí (21ngành)
- C02: Toán, Ngữ Văn, Hóa học (21ngành)
- A01: Toán, Vật lí, Tiếng Anh (21ngành)
- D07: Toán, Hóa học, Tiếng Anh (21ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (21ngành)
- D10: Toán, Địa lí, Tiếng Anh (21ngành)
- D09: Toán, Lịch sử, Tiếng Anh (21ngành)
- X21: Toán, Địa lí, GDKTPL (21ngành)
- A07: Toán, Lịch sử, Địa lí (21ngành)
- X25: Toán, Tiếng Anh, GDKTPL (21ngành)
- A04: Toán, Vật lí, Địa lí (21ngành)
- X05: Toán, Vật lí, GDKTPL (21ngành)
- A05: Toán, Hóa học, Lịch sử (21ngành)
- A06: Toán, Hóa học, Địa lí (21ngành)
- X17: Toán, Lịch sử, GDKTPL (21ngành)
- X09: Toán, Hóa học, GDKTPL (21ngành)
- A03: Toán, Vật lí, Lịch sử (21ngành)
