Trường: Trường Đại Học Hoa Lư (Mã: DNB)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (5ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (3ngành)
- X01: Ngữ văn, Toán, GDKTPL (1ngành)
- A00: Toán, Vật lí, Hóa học (5ngành)
- C04: Ngữ văn, Toán, Địa lí (5ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (3ngành)
- C01: Toán, Ngữ Văn, Vật lí (4ngành)
- C02: Toán, Ngữ Văn, Hóa học (1ngành)
- A02: Toán, Vật lí, Sinh học (2ngành)
- A01: Toán, Vật lí, Tiếng Anh (5ngành)
- D07: Toán, Hóa học, Tiếng Anh (2ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (6ngành)
- B00: Toán, Hóa học, Sinh học (2ngành)
- B08: Toán, Sinh học, Tiếng Anh (2ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (2ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (2ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (3ngành)
- B03: Toán, Ngữ văn, Sinh học (1ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (1ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (3ngành)
- K01: Toán, Văn, Lý/Hóa/Sinh/Tin (1ngành)
