Trường: Trường Đại Học Ngoại Ngữ Tin Học TPHCM (Mã: DNT)
Các khối thi / tổ hợp xét tuyển:

- C00: Ngữ văn, Lịch sử, Địa lí (2ngành)
- A00: Toán, Vật lí, Hóa học (4ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (19ngành)
- C01: Toán, Ngữ Văn, Vật lí (4ngành)
- D03: Ngữ văn, Toán, Tiếng Pháp (1ngành)
- A01: Toán, Vật lí, Tiếng Anh (14ngành)
- D07: Toán, Hóa học, Tiếng Anh (11ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (23ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (1ngành)
- D06: Ngữ văn, Toán, Tiếng Nhật (2ngành)
- D10: Toán, Địa lí, Tiếng Anh (3ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (12ngành)
- D09: Toán, Lịch sử, Tiếng Anh (5ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (9ngành)
- X25: Toán, Tiếng Anh, GDKTPL (12ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (13ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (10ngành)
- D12: Ngữ văn, Hóa học, Tiếng Anh (1ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (4ngành)
- X27; D0C; K20; TH5; TH7: Toán, Tiếng Anh, Công nghệ công nghiệp (11ngành)
- X79; TH9: Ngữ văn, Tiếng Anh, Tin học (1ngành)
- DD2: Ngữ văn, Toán, Tiếng Hàn (2ngành)
- X80: Ngữ văn, Tiếng Anh, Công nghệ công nghiệp (2ngành)
