Trường: Trường Đại Học Phạm Văn Đồng (Mã: DPQ)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (3ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (2ngành)
- X01: Ngữ văn, Toán, GDKTPL (4ngành)
- A00: Toán, Vật lí, Hóa học (9ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (2ngành)
- C01: Toán, Ngữ Văn, Vật lí (3ngành)
- C02: Toán, Ngữ Văn, Hóa học (2ngành)
- A01: Toán, Vật lí, Tiếng Anh (6ngành)
- D07: Toán, Hóa học, Tiếng Anh (2ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (9ngành)
- B00: Toán, Hóa học, Sinh học (2ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (3ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (1ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (1ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (1ngành)
- B03: Toán, Ngữ văn, Sinh học (1ngành)
- X25: Toán, Tiếng Anh, GDKTPL (1ngành)
- X05: Toán, Vật lí, GDKTPL (6ngành)
- X09: Toán, Hóa học, GDKTPL (1ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (2ngành)
