Trường: Trường Đại Học Phan Thiết (Mã: DPT)
Các khối thi / tổ hợp xét tuyển:

- C00: Ngữ văn, Lịch sử, Địa lí (6ngành)
- X01: Ngữ văn, Toán, GDKTPL (4ngành)
- A00: Toán, Vật lí, Hóa học (9ngành)
- C04: Ngữ văn, Toán, Địa lí (6ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (6ngành)
- C01: Toán, Ngữ Văn, Vật lí (8ngành)
- A01: Toán, Vật lí, Tiếng Anh (8ngành)
- D07: Toán, Hóa học, Tiếng Anh (9ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (14ngành)
- B00: Toán, Hóa học, Sinh học (1ngành)
- D10: Toán, Địa lí, Tiếng Anh (5ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (6ngành)
- D08: Toán, Sinh học, Tiếng Anh (2ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (6ngành)
- X25: Toán, Tiếng Anh, GDKTPL (5ngành)
- A04: Toán, Vật lí, Địa lí (5ngành)
