Trường: Trường Đại Học Quảng Bình (Mã: DQB)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (4ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (4ngành)
- X01: Ngữ văn, Toán, GDKTPL (4ngành)
- A00: Toán, Vật lí, Hóa học (5ngành)
- C04: Ngữ văn, Toán, Địa lí (3ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (4ngành)
- C02: Toán, Ngữ Văn, Hóa học (3ngành)
- A02: Toán, Vật lí, Sinh học (2ngành)
- A01: Toán, Vật lí, Tiếng Anh (9ngành)
- D07: Toán, Hóa học, Tiếng Anh (2ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (12ngành)
- B00: Toán, Hóa học, Sinh học (2ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (1ngành)
- D10: Toán, Địa lí, Tiếng Anh (4ngành)
- B08: Toán, Sinh học, Tiếng Anh (3ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (1ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (5ngành)
- D09: Toán, Lịch sử, Tiếng Anh (2ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (2ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (2ngành)
- X21: Toán, Địa lí, GDKTPL (2ngành)
- T00: Toán, Sinh học, Năng khiếu TDTT (1ngành)
- X25: Toán, Tiếng Anh, GDKTPL (1ngành)
- T05: Ngữ văn, GDKTPL, Năng khiếu thể dục thể thao (1ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (2ngành)
- T01: Toán, Ngữ văn, Năng khiếu TDTT (1ngành)
- T03: Ngữ văn, Địa, Năng khiếu TDTT (1ngành)
- X17: Toán, Lịch sử, GDKTPL (2ngành)
- D45: Ngữ văn, Địa lí, Tiếng Trung (1ngành)
- A03: Toán, Vật lí, Lịch sử (1ngành)
- T04: Toán, Lý, Năng khiếu TDTT (1ngành)
- M11: Ngữ Văn, năng kiếu báo chí, Tiếng Anh (1ngành)
- D65: Ngữ văn, Lịch sử, Tiếng Trung (1ngành)
- M14: Ngữ văn, Năng khiếu báo chí, Toán (1ngành)
- X02, K21, TH6, DK, F01, TH3: Toán, Ngữ văn, Tin học (2ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (2ngành)
- X10, TH4: Toán, Hoá, Tin (2ngành)
- X79; TH9: Ngữ văn, Tiếng Anh, Tin học (2ngành)
- X04; TH8; K22; E01: Toán, Ngữ văn, Công nghệ nông nghiệp (2ngành)
- M05: Ngữ văn, Khoa học xã hội, Năng khiếu (1ngành)
- X90: Ngữ văn, GDKTPL, Tiếng Trung (1ngành)
- M07: Ngữ Văn, Địa lý, Năng khiếu đọc diễn cảm và Hát (1ngành)
- T06: Toán, Địa lý, Năng khiếu Thể dục thể thao (1ngành)
- T07: Ngữ văn, Địa lý, Năng khiếu Thể dục Thể thao (1ngành)
- M06: Ngữ Văn, Toán, Năng khiếu Giáo dục mầm non (1ngành)
