Trường: Trường Đại Học Kỹ Thuật Công Nghiệp Thái Nguyên (Mã: DTK)
Các khối thi / tổ hợp xét tuyển:

- A00: Toán, Vật lí, Hóa học (20ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (1ngành)
- C01: Toán, Ngữ Văn, Vật lí (18ngành)
- C02: Toán, Ngữ Văn, Hóa học (18ngành)
- A01: Toán, Vật lí, Tiếng Anh (20ngành)
- D07: Toán, Hóa học, Tiếng Anh (21ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (21ngành)
- D10: Toán, Địa lí, Tiếng Anh (1ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (1ngành)
- B03: Toán, Ngữ văn, Sinh học (1ngành)
- X25: Toán, Tiếng Anh, GDKTPL (2ngành)
- X05: Toán, Vật lí, GDKTPL (2ngành)
