Trường: Trường Đại học Tài Nguyên và Môi Trường TPHCM (Mã: DTM)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (20ngành)
- X01: Ngữ văn, Toán, GDKTPL (14ngành)
- C04: Ngữ văn, Toán, Địa lí (18ngành)
- C01: Toán, Ngữ Văn, Vật lí (19ngành)
- C02: Toán, Ngữ Văn, Hóa học (20ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (20ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (1ngành)
- B03: Toán, Ngữ văn, Sinh học (20ngành)
- X02, K21, TH6, DK, F01, TH3: Toán, Ngữ văn, Tin học (11ngành)
- X03; TH8; K22; E01: Toán, Ngữ văn, Công nghệ công nghiệp (7ngành)
- X04; TH8; K22; E01: Toán, Ngữ văn, Công nghệ nông nghiệp (7ngành)
