Trường: Phân Hiệu Đại Học Thái Nguyên Tại Lào Cai (Mã: DTP)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (5ngành)
- A00: Toán, Vật lí, Hóa học (1ngành)
- C04: Ngữ văn, Toán, Địa lí (3ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (2ngành)
- C01: Toán, Ngữ Văn, Vật lí (8ngành)
- C02: Toán, Ngữ Văn, Hóa học (8ngành)
- A01: Toán, Vật lí, Tiếng Anh (3ngành)
- D07: Toán, Hóa học, Tiếng Anh (3ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (10ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (10ngành)
- D10: Toán, Địa lí, Tiếng Anh (2ngành)
- B08: Toán, Sinh học, Tiếng Anh (2ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (2ngành)
- D09: Toán, Lịch sử, Tiếng Anh (2ngành)
- B03: Toán, Ngữ văn, Sinh học (6ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (1ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (2ngành)
- D13: Ngữ văn, Sinh học, Tiếng Anh (2ngành)
- D12: Ngữ văn, Hóa học, Tiếng Anh (2ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (1ngành)
