Trường: Khoa Quốc Tế - Đại Học Thái Nguyên (Mã: DTQ)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (5ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (5ngành)
- X01: Ngữ văn, Toán, GDKTPL (5ngành)
- A00: Toán, Vật lí, Hóa học (6ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (2ngành)
- C01: Toán, Ngữ Văn, Vật lí (5ngành)
- A01: Toán, Vật lí, Tiếng Anh (6ngành)
- D07: Toán, Hóa học, Tiếng Anh (8ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (9ngành)
- B00: Toán, Hóa học, Sinh học (2ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (6ngành)
- D10: Toán, Địa lí, Tiếng Anh (7ngành)
- B08: Toán, Sinh học, Tiếng Anh (2ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (7ngành)
- D08: Toán, Sinh học, Tiếng Anh (2ngành)
- D09: Toán, Lịch sử, Tiếng Anh (1ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (5ngành)
- B02: Toán, Sinh học, Địa lí (2ngành)
- B01: Toán, Lịch sử, Sinh học (2ngành)
- K00: Toán, Đọc hiểu, Tư duy Khoa học Giải quyết vấn đề (9ngành)
- Q00: Tư duy định lượng, Tư duy định tính, Khoa học/ Tiếng Anh (9ngành)
