Trường: Đại Học Sư Phạm Thái Nguyên (Mã: DTS)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (2ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (6ngành)
- X01: Ngữ văn, Toán, GDKTPL (4ngành)
- A00: Toán, Vật lí, Hóa học (5ngành)
- C01: Toán, Ngữ Văn, Vật lí (3ngành)
- C02: Toán, Ngữ Văn, Hóa học (1ngành)
- A01: Toán, Vật lí, Tiếng Anh (3ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (6ngành)
- B00: Toán, Hóa học, Sinh học (4ngành)
- B08: Toán, Sinh học, Tiếng Anh (2ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (7ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (1ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (6ngành)
- B03: Toán, Ngữ văn, Sinh học (3ngành)
- X02, K21, TH6, DK, F01, TH3: Toán, Ngữ văn, Tin học (1ngành)
- X03; TH8; K22; E01: Toán, Ngữ văn, Công nghệ công nghiệp (1ngành)
- X04; TH8; K22; E01: Toán, Ngữ văn, Công nghệ nông nghiệp (1ngành)
