Trường: Trường Đại Học Lương Thế Vinh (Mã: DTV)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (8ngành)
- A00: Toán, Vật lí, Hóa học (10ngành)
- C04: Ngữ văn, Toán, Địa lí (8ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (9ngành)
- C01: Toán, Ngữ Văn, Vật lí (8ngành)
- C02: Toán, Ngữ Văn, Hóa học (8ngành)
- D03: Ngữ văn, Toán, Tiếng Pháp (9ngành)
- A02: Toán, Vật lí, Sinh học (10ngành)
- A01: Toán, Vật lí, Tiếng Anh (11ngành)
- D07: Toán, Hóa học, Tiếng Anh (11ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (11ngành)
- B00: Toán, Hóa học, Sinh học (10ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (9ngành)
- D06: Ngữ văn, Toán, Tiếng Nhật (9ngành)
- D10: Toán, Địa lí, Tiếng Anh (11ngành)
- B08: Toán, Sinh học, Tiếng Anh (11ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (9ngành)
- D08: Toán, Sinh học, Tiếng Anh (11ngành)
- D09: Toán, Lịch sử, Tiếng Anh (11ngành)
- D05: Ngữ văn, Toán, Tiếng Đức (9ngành)
- D02: Ngữ văn, Toán, Tiếng Nga (9ngành)
- D29: Toán, Vật lí, Tiếng Pháp (7ngành)
- D28: Toán, Vật lí, Tiếng Nhật (7ngành)
- D23: Toán, Hóa học, Tiếng Nhật (7ngành)
- D26: Toán, Vật lí, Tiếng Đức (7ngành)
- D24: Toán, Hóa học, Tiếng Pháp (7ngành)
- D27: Toán, Vật lí, Tiếng Nga (7ngành)
- D21: Toán, Hóa học, Tiếng Đức (7ngành)
- D30: Toán, Vật lí, Tiếng Trung (7ngành)
- D22: Toán, Hóa học, Tiếng Nga (7ngành)
- D25: Toán, Hóa học, Tiếng Trung (7ngành)
- A07: Toán, Lịch sử, Địa lí (10ngành)
- B03: Toán, Ngữ văn, Sinh học (10ngành)
- A04: Toán, Vật lí, Địa lí (10ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (2ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (9ngành)
- D13: Ngữ văn, Sinh học, Tiếng Anh (9ngành)
- A05: Toán, Hóa học, Lịch sử (10ngành)
- A06: Toán, Hóa học, Địa lí (10ngành)
- B02: Toán, Sinh học, Địa lí (10ngành)
- D12: Ngữ văn, Hóa học, Tiếng Anh (9ngành)
- D45: Ngữ văn, Địa lí, Tiếng Trung (1ngành)
- A03: Toán, Vật lí, Lịch sử (10ngành)
- D44: Ngữ văn, Địa lí, Tiếng Pháp (1ngành)
- D63: Ngữ văn, Lịch sử, Tiếng Nhật (1ngành)
- D20: Toán, Địa lí, Tiếng Trung (7ngành)
- D33: Toán, Sinh học, Tiếng Nhật (7ngành)
- D42: Ngữ văn, Địa lí, Tiếng Nga (1ngành)
- D32: Toán, Sinh học, Tiếng Nga (7ngành)
- D34: Toán, Sinh học, Tiếng Pháp (7ngành)
- D16: Toán, Địa lí, Tiếng Đức (9ngành)
- D35: Toán, Sinh học, Tiếng Trung (7ngành)
- D31: Toán, Sinh học, Tiếng Đức (7ngành)
- D43: Ngữ văn, Địa lí, Tiếng Nhật (1ngành)
- D55: Ngữ văn, Vật lí, Tiếng Trung (1ngành)
- B01: Toán, Lịch sử, Sinh học (10ngành)
- D61: Ngữ văn, Lịch sử, Tiếng Đức (1ngành)
- D62: Ngữ văn, Lịch sử, Tiếng Nga (1ngành)
- X02, K21, TH6, DK, F01, TH3: Toán, Ngữ văn, Tin học (2ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (2ngành)
- D39: Toán, Lịch sử, Tiếng Pháp (1ngành)
- X14: Toán, Sinh học, Tin học (2ngành)
- D18: Toán, Địa lí, Tiếng Nhật (9ngành)
- X10, TH4: Toán, Hoá, Tin (2ngành)
- D19: Toán, Địa lí, Tiếng Pháp (9ngành)
- D50: Ngữ văn, Hóa học, Tiếng Trung (1ngành)
- D41: Ngữ văn, Địa lí, Tiếng Đức (1ngành)
- X46: Toán, Tiếng Nhật, Tin học (2ngành)
- X22: Toán, Địa lí, Tin học (2ngành)
- X79; TH9: Ngữ văn, Tiếng Anh, Tin học (2ngành)
- K01: Toán, Văn, Lý/Hóa/Sinh/Tin (2ngành)
- X71; TH11: Ngữ văn, Lịch sử, Tin học (2ngành)
- X53: Toán, GDKTPL, Tin học (2ngành)
- D36: Toán, Lịch sử, Tiếng Đức (1ngành)
- D38: Toán, Lịch sử, Tiếng Nhật (1ngành)
- D40: Toán, Lịch sử, Tiếng Trung (1ngành)
- D37: Toán, Lịch sử, Tiếng Nga (1ngành)
- X18: Toán, Lịch sử, Tin học (2ngành)
- Y07: Ngữ văn, GDKTPL, Tin học (2ngành)
- X63: Ngữ văn, Hóa học, Tin học (2ngành)
- X67: Ngữ văn, Sinh học, Tin học (2ngành)
- X59: Ngữ văn, Vật lí, Tin học (2ngành)
