Trường: Trường Đại Học Khoa Học Thái Nguyên (Mã: DTZ)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (20ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (19ngành)
- X01: Ngữ văn, Toán, GDKTPL (19ngành)
- A00: Toán, Vật lí, Hóa học (15ngành)
- C04: Ngữ văn, Toán, Địa lí (20ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (22ngành)
- C01: Toán, Ngữ Văn, Vật lí (10ngành)
- C02: Toán, Ngữ Văn, Hóa học (13ngành)
- A02: Toán, Vật lí, Sinh học (12ngành)
- A01: Toán, Vật lí, Tiếng Anh (10ngành)
- D07: Toán, Hóa học, Tiếng Anh (13ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (29ngành)
- B00: Toán, Hóa học, Sinh học (15ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (3ngành)
- D10: Toán, Địa lí, Tiếng Anh (29ngành)
- B08: Toán, Sinh học, Tiếng Anh (10ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (18ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (22ngành)
- D08: Toán, Sinh học, Tiếng Anh (6ngành)
- D09: Toán, Lịch sử, Tiếng Anh (26ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (18ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (21ngành)
- X21: Toán, Địa lí, GDKTPL (19ngành)
- A07: Toán, Lịch sử, Địa lí (20ngành)
- AH1: Toán, Địa lí, Tiếng Hàn (2ngành)
- B03: Toán, Ngữ văn, Sinh học (10ngành)
- C08: Ngữ văn, Hóa học, Sinh học (7ngành)
- X25: Toán, Tiếng Anh, GDKTPL (28ngành)
- X13: Toán, Sinh học, GDKTPL (10ngành)
- A04: Toán, Vật lí, Địa lí (11ngành)
- X05: Toán, Vật lí, GDKTPL (10ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (28ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (18ngành)
- D13: Ngữ văn, Sinh học, Tiếng Anh (18ngành)
- A05: Toán, Hóa học, Lịch sử (13ngành)
- A06: Toán, Hóa học, Địa lí (14ngành)
- X17: Toán, Lịch sử, GDKTPL (19ngành)
- X09: Toán, Hóa học, GDKTPL (13ngành)
- B02: Toán, Sinh học, Địa lí (11ngành)
- C05: Ngữ văn, Vật lí, Hóa học (5ngành)
- D12: Ngữ văn, Hóa học, Tiếng Anh (18ngành)
- D45: Ngữ văn, Địa lí, Tiếng Trung (3ngành)
- A03: Toán, Vật lí, Lịch sử (10ngành)
- C13: Ngữ văn, Sinh học, Địa lí (17ngành)
- D20: Toán, Địa lí, Tiếng Trung (3ngành)
- D55: Ngữ văn, Vật lí, Tiếng Trung (2ngành)
- D65: Ngữ văn, Lịch sử, Tiếng Trung (4ngành)
- D71: Ngữ văn, GDKTPL, Tiếng Trung (2ngành)
- C06: Ngữ Văn, Vật lí, Sinh học (2ngành)
- C07: Ngữ văn, Lịch sử, Vật lí (15ngành)
- C10: Ngữ văn, Lịch sử, Hóa học (15ngành)
- C09: Ngữ văn, Địa lí, Vật lí (15ngành)
- C12: Ngữ văn, Lịch sử, Sinh học (15ngành)
- C11: Ngữ văn, Địa lí, Hóa học (15ngành)
- B01: Toán, Lịch sử, Sinh học (10ngành)
- X58: Ngữ văn, Vật lí, GDKTPL (14ngành)
- X02, K21, TH6, DK, F01, TH3: Toán, Ngữ văn, Tin học (24ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (10ngành)
- X62: Ngữ văn, Hóa học, GDKTPL (14ngành)
- X14: Toán, Sinh học, Tin học (10ngành)
- X10, TH4: Toán, Hoá, Tin (13ngành)
- X75: Ngữ văn, Địa lí, Tin học (16ngành)
- D50: Ngữ văn, Hóa học, Tiếng Trung (2ngành)
- X22: Toán, Địa lí, Tin học (24ngành)
- X79; TH9: Ngữ văn, Tiếng Anh, Tin học (20ngành)
- X71; TH11: Ngữ văn, Lịch sử, Tin học (17ngành)
- X53: Toán, GDKTPL, Tin học (24ngành)
- DD2: Ngữ văn, Toán, Tiếng Hàn (1ngành)
- AH5: Toán, Lịch sử, Tiếng Hàn (2ngành)
- D40: Toán, Lịch sử, Tiếng Trung (3ngành)
- X38: Toán, Tin học, Tiếng Trung (2ngành)
- D60: Ngữ văn, Sinh học, Tiếng Trung (2ngành)
- X37; D89: Toán, GDKTPL, Tiếng Trung (2ngành)
- X90: Ngữ văn, GDKTPL, Tiếng Trung (2ngành)
- X49: Toán, GDKTPL, Tiếng Hàn (1ngành)
- X50: Toán, Tin học, Tiếng Hàn (1ngành)
- X66: Ngữ văn, Sinh học, GDKT&PL (14ngành)
- X18: Toán, Lịch sử, Tin học (25ngành)
- Y07: Ngữ văn, GDKTPL, Tin học (16ngành)
- Y03: Ngữ văn, GDKTPL, Tiếng Hàn (1ngành)
- Y04: Ngữ văn, Tin học, Tiếng Hàn (1ngành)
- X63: Ngữ văn, Hóa học, Tin học (13ngành)
- X67: Ngữ văn, Sinh học, Tin học (15ngành)
- DH1: Ngữ văn, Địa lí, Tiếng Hàn (2ngành)
- X59: Ngữ văn, Vật lí, Tin học (13ngành)
- DH5: Ngữ văn, Lịch sử, Tiếng Hàn (2ngành)
