Trường: Trường Đại Học Văn Hóa, Thể Thao Và Du Lịch Thanh Hóa (Mã: DVD)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (8ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (3ngành)
- X01: Ngữ văn, Toán, GDKTPL (6ngành)
- A00: Toán, Vật lí, Hóa học (1ngành)
- C04: Ngữ văn, Toán, Địa lí (8ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (4ngành)
- C01: Toán, Ngữ Văn, Vật lí (2ngành)
- C02: Toán, Ngữ Văn, Hóa học (2ngành)
- A02: Toán, Vật lí, Sinh học (1ngành)
- A01: Toán, Vật lí, Tiếng Anh (1ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (9ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (1ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (3ngành)
- H00: Ngữ văn, Năng khiếu vẽ Nghệ thuật 1, Năng khiếu vẽ Nghệ thuật 2 (3ngành)
- B03: Toán, Ngữ văn, Sinh học (8ngành)
- A04: Toán, Vật lí, Địa lí (1ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (1ngành)
- N00: Ngữ văn, Năng khiếu Âm nhạc 1, Năng khiếu Âm nhạc 2 (2ngành)
- M00: Ngữ văn, Toán, Đọc diễn cảm, Hát (2ngành)
- T02: Ngữ văn, Sinh, Năng khiếu TDTT (3ngành)
- M11: Ngữ Văn, năng kiếu báo chí, Tiếng Anh (1ngành)
- C07: Ngữ văn, Lịch sử, Vật lí (1ngành)
- C12: Ngữ văn, Lịch sử, Sinh học (2ngành)
- K00: Toán, Đọc hiểu, Tư duy Khoa học Giải quyết vấn đề (22ngành)
- Q00: Tư duy định lượng, Tư duy định tính, Khoa học/ Tiếng Anh (22ngành)
- M05: Ngữ văn, Khoa học xã hội, Năng khiếu (1ngành)
- T10: Toán, Vật lý, Năng khiếu Thể dục Thể thao (3ngành)
- M07: Ngữ Văn, Địa lý, Năng khiếu đọc diễn cảm và Hát (1ngành)
- T07: Ngữ văn, Địa lý, Năng khiếu Thể dục Thể thao (3ngành)
