Trường: Trường Đại Học Văn Hiến (Mã: DVH)
Các khối thi / tổ hợp xét tuyển:

- C00: Ngữ văn, Lịch sử, Địa lí (9ngành)
- X01: Ngữ văn, Toán, GDKTPL (20ngành)
- A00: Toán, Vật lí, Hóa học (30ngành)
- C04: Ngữ văn, Toán, Địa lí (17ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (8ngành)
- C01: Toán, Ngữ Văn, Vật lí (1ngành)
- C02: Toán, Ngữ Văn, Hóa học (2ngành)
- D03: Ngữ văn, Toán, Tiếng Pháp (1ngành)
- A01: Toán, Vật lí, Tiếng Anh (29ngành)
- D07: Toán, Hóa học, Tiếng Anh (1ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (40ngành)
- B00: Toán, Hóa học, Sinh học (1ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (1ngành)
- D06: Ngữ văn, Toán, Tiếng Nhật (1ngành)
- D10: Toán, Địa lí, Tiếng Anh (5ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (13ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (10ngành)
- D08: Toán, Sinh học, Tiếng Anh (1ngành)
- D09: Toán, Lịch sử, Tiếng Anh (1ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (12ngành)
- V00: Toán, Vật lí, Vẽ Hình họa mỹ thuật (1ngành)
- H01: Toán, Ngữ văn, Vẽ Mỹ thuật (1ngành)
- B03: Toán, Ngữ văn, Sinh học (2ngành)
- X25: Toán, Tiếng Anh, GDKTPL (8ngành)
- X13: Toán, Sinh học, GDKTPL (1ngành)
- X05: Toán, Vật lí, GDKTPL (11ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (8ngành)
- N00: Ngữ văn, Năng khiếu Âm nhạc 1, Năng khiếu Âm nhạc 2 (2ngành)
- D13: Ngữ văn, Sinh học, Tiếng Anh (1ngành)
- D12: Ngữ văn, Hóa học, Tiếng Anh (1ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (8ngành)
- X66: Ngữ văn, Sinh học, GDKT&PL (1ngành)
- X54: Toán, GDKTPL, Công nghệ công nghiệp (21ngành)
- Y08: Ngữ văn, GDKTPL, Công nghệ công nghiệp (2ngành)
