Trường: Trường Đại Học Trưng Vương (Mã: DVP)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (3ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (5ngành)
- A00: Toán, Vật lí, Hóa học (11ngành)
- C04: Ngữ văn, Toán, Địa lí (2ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (6ngành)
- C01: Toán, Ngữ Văn, Vật lí (2ngành)
- C02: Toán, Ngữ Văn, Hóa học (3ngành)
- A02: Toán, Vật lí, Sinh học (2ngành)
- A01: Toán, Vật lí, Tiếng Anh (13ngành)
- D07: Toán, Hóa học, Tiếng Anh (5ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (14ngành)
- B00: Toán, Hóa học, Sinh học (2ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (2ngành)
- D10: Toán, Địa lí, Tiếng Anh (4ngành)
- B08: Toán, Sinh học, Tiếng Anh (2ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (3ngành)
- D08: Toán, Sinh học, Tiếng Anh (2ngành)
- D09: Toán, Lịch sử, Tiếng Anh (3ngành)
- D02: Ngữ văn, Toán, Tiếng Nga (1ngành)
- A07: Toán, Lịch sử, Địa lí (6ngành)
- B03: Toán, Ngữ văn, Sinh học (2ngành)
- C08: Ngữ văn, Hóa học, Sinh học (1ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (1ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (1ngành)
- A05: Toán, Hóa học, Lịch sử (1ngành)
- D45: Ngữ văn, Địa lí, Tiếng Trung (1ngành)
- B01: Toán, Lịch sử, Sinh học (1ngành)
- X02, K21, TH6, DK, F01, TH3: Toán, Ngữ văn, Tin học (1ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (1ngành)
- K00: Toán, Đọc hiểu, Tư duy Khoa học Giải quyết vấn đề (16ngành)
- Q00: Tư duy định lượng, Tư duy định tính, Khoa học/ Tiếng Anh (16ngành)
- AH3: Toán, Vật lí, Tiếng Hàn (1ngành)
- DD2: Ngữ văn, Toán, Tiếng Hàn (1ngành)
- AH2: Toán, Hóa học, Tiếng Hàn (1ngành)
- DH1: Ngữ văn, Địa lí, Tiếng Hàn (1ngành)
- DH5: Ngữ văn, Lịch sử, Tiếng Hàn (1ngành)
- AH4: Toán, Sinh học, Tiếng Hàn (1ngành)
