Trường: Học Viện Hàng không Việt Nam (Mã: HHK)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (33ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (18ngành)
- X01: Ngữ văn, Toán, GDKTPL (33ngành)
- A00: Toán, Vật lí, Hóa học (33ngành)
- C04: Ngữ văn, Toán, Địa lí (33ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (21ngành)
- C01: Toán, Ngữ Văn, Vật lí (33ngành)
- C02: Toán, Ngữ Văn, Hóa học (33ngành)
- D03: Ngữ văn, Toán, Tiếng Pháp (33ngành)
- A02: Toán, Vật lí, Sinh học (33ngành)
- A01: Toán, Vật lí, Tiếng Anh (33ngành)
- D07: Toán, Hóa học, Tiếng Anh (33ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (36ngành)
- B00: Toán, Hóa học, Sinh học (33ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (34ngành)
- D06: Ngữ văn, Toán, Tiếng Nhật (33ngành)
- D10: Toán, Địa lí, Tiếng Anh (33ngành)
- B08: Toán, Sinh học, Tiếng Anh (33ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (18ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (21ngành)
- D08: Toán, Sinh học, Tiếng Anh (33ngành)
- D09: Toán, Lịch sử, Tiếng Anh (33ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (18ngành)
- D05: Ngữ văn, Toán, Tiếng Đức (33ngành)
- D02: Ngữ văn, Toán, Tiếng Nga (33ngành)
- D29: Toán, Vật lí, Tiếng Pháp (33ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (21ngành)
- D28: Toán, Vật lí, Tiếng Nhật (33ngành)
- X21: Toán, Địa lí, GDKTPL (33ngành)
- D23: Toán, Hóa học, Tiếng Nhật (33ngành)
- D26: Toán, Vật lí, Tiếng Đức (33ngành)
- V00: Toán, Vật lí, Vẽ Hình họa mỹ thuật (33ngành)
- D24: Toán, Hóa học, Tiếng Pháp (33ngành)
- D27: Toán, Vật lí, Tiếng Nga (33ngành)
- D46: Ngữ văn, Hóa học, Tiếng Đức (18ngành)
- D21: Toán, Hóa học, Tiếng Đức (33ngành)
- D30: Toán, Vật lí, Tiếng Trung (34ngành)
- D47: Ngữ văn, Hóa học, Tiếng Nga (18ngành)
- D22: Toán, Hóa học, Tiếng Nga (33ngành)
- H00: Ngữ văn, Năng khiếu vẽ Nghệ thuật 1, Năng khiếu vẽ Nghệ thuật 2 (18ngành)
- D25: Toán, Hóa học, Tiếng Trung (34ngành)
- V01: Toán, Ngữ văn, Vẽ Hình họa mỹ thuật (33ngành)
- A07: Toán, Lịch sử, Địa lí (33ngành)
- AH1: Toán, Địa lí, Tiếng Hàn (34ngành)
- V02: Toán, Tiếng Anh, Vẽ mỹ thuật (33ngành)
- H01: Toán, Ngữ văn, Vẽ Mỹ thuật (33ngành)
