Trường: Trường Đại Học Hạ Long (Mã: HLU)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (6ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (7ngành)
- X01: Ngữ văn, Toán, GDKTPL (9ngành)
- A00: Toán, Vật lí, Hóa học (13ngành)
- C04: Ngữ văn, Toán, Địa lí (13ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (10ngành)
- C01: Toán, Ngữ Văn, Vật lí (10ngành)
- C02: Toán, Ngữ Văn, Hóa học (7ngành)
- A02: Toán, Vật lí, Sinh học (1ngành)
- A01: Toán, Vật lí, Tiếng Anh (16ngành)
- D07: Toán, Hóa học, Tiếng Anh (6ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (23ngành)
- B00: Toán, Hóa học, Sinh học (4ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (3ngành)
- D06: Ngữ văn, Toán, Tiếng Nhật (1ngành)
- D10: Toán, Địa lí, Tiếng Anh (10ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (4ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (10ngành)
- D09: Toán, Lịch sử, Tiếng Anh (1ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (4ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (8ngành)
- X21: Toán, Địa lí, GDKTPL (4ngành)
- AH1: Toán, Địa lí, Tiếng Hàn (1ngành)
- B03: Toán, Ngữ văn, Sinh học (1ngành)
- X25: Toán, Tiếng Anh, GDKTPL (3ngành)
- A04: Toán, Vật lí, Địa lí (1ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (1ngành)
- B02: Toán, Sinh học, Địa lí (2ngành)
- M09: Toán, NK Mầm non 1( kể chuyện, đọc, diễn cảm), NK Mầm non 2 (Hát) (1ngành)
- D45: Ngữ văn, Địa lí, Tiếng Trung (3ngành)
- D65: Ngữ văn, Lịch sử, Tiếng Trung (1ngành)
- X02, K21, TH6, DK, F01, TH3: Toán, Ngữ văn, Tin học (4ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (3ngành)
- X04; TH8; K22; E01: Toán, Ngữ văn, Công nghệ nông nghiệp (1ngành)
- DD2: Ngữ văn, Toán, Tiếng Hàn (1ngành)
- X90: Ngữ văn, GDKTPL, Tiếng Trung (1ngành)
- Y03: Ngữ văn, GDKTPL, Tiếng Hàn (1ngành)
- X73: Ngữ văn, Lịch sử, Công nghệ nông nghiệp (1ngành)
