Trường: Trường Đại học Thủ Đô Hà Nội (Mã: HNM)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (9ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (11ngành)
- X01: Ngữ văn, Toán, GDKTPL (5ngành)
- A00: Toán, Vật lí, Hóa học (7ngành)
- C04: Ngữ văn, Toán, Địa lí (6ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (16ngành)
- C01: Toán, Ngữ Văn, Vật lí (6ngành)
- C02: Toán, Ngữ Văn, Hóa học (1ngành)
- A02: Toán, Vật lí, Sinh học (5ngành)
- A01: Toán, Vật lí, Tiếng Anh (9ngành)
- D07: Toán, Hóa học, Tiếng Anh (5ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (23ngành)
- B00: Toán, Hóa học, Sinh học (2ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (1ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (9ngành)
- D08: Toán, Sinh học, Tiếng Anh (4ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (4ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (12ngành)
- T00: Toán, Sinh học, Năng khiếu TDTT (2ngành)
- B03: Toán, Ngữ văn, Sinh học (1ngành)
- T01: Toán, Ngữ văn, Năng khiếu TDTT (2ngành)
- T04: Toán, Lý, Năng khiếu TDTT (2ngành)
- T08: Toán, GDKTPL, Năng khiếu Thể dục thể thao (2ngành)
