Trường: Học Viện Nông Nghiệp Việt Nam (Mã: HVN)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (20ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (3ngành)
- X01: Ngữ văn, Toán, GDKTPL (8ngành)
- A00: Toán, Vật lí, Hóa học (18ngành)
- C04: Ngữ văn, Toán, Địa lí (14ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (5ngành)
- C01: Toán, Ngữ Văn, Vật lí (8ngành)
- C02: Toán, Ngữ Văn, Hóa học (14ngành)
- A01: Toán, Vật lí, Tiếng Anh (22ngành)
- D07: Toán, Hóa học, Tiếng Anh (5ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (23ngành)
- B00: Toán, Hóa học, Sinh học (9ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (1ngành)
- D10: Toán, Địa lí, Tiếng Anh (1ngành)
- B08: Toán, Sinh học, Tiếng Anh (18ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (3ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (5ngành)
- D09: Toán, Lịch sử, Tiếng Anh (1ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (3ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (1ngành)
- A07: Toán, Lịch sử, Địa lí (5ngành)
- B03: Toán, Ngữ văn, Sinh học (2ngành)
- X25: Toán, Tiếng Anh, GDKTPL (1ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (2ngành)
- D13: Ngữ văn, Sinh học, Tiếng Anh (1ngành)
- D12: Ngữ văn, Hóa học, Tiếng Anh (1ngành)
- D45: Ngữ văn, Địa lí, Tiếng Trung (1ngành)
- A03: Toán, Vật lí, Lịch sử (4ngành)
- D55: Ngữ văn, Vật lí, Tiếng Trung (1ngành)
- D65: Ngữ văn, Lịch sử, Tiếng Trung (1ngành)
- B01: Toán, Lịch sử, Sinh học (2ngành)
- X02, K21, TH6, DK, F01, TH3: Toán, Ngữ văn, Tin học (4ngành)
- X08: Toán, Vật lí, Công nghệ nông nghiệp (10ngành)
- X07, A0C, TH3, TH4: Toán, Vật lí, Công nghệ công nghiệp (10ngành)
- X27; D0C; K20; TH5; TH7: Toán, Tiếng Anh, Công nghệ công nghiệp (1ngành)
- X28, K20, D0C: Toán, Tiếng Anh, Công nghệ nông nghiệp (1ngành)
- X03; TH8; K22; E01: Toán, Ngữ văn, Công nghệ công nghiệp (12ngành)
- X04; TH8; K22; E01: Toán, Ngữ văn, Công nghệ nông nghiệp (12ngành)
