Trường: Trường Đại Học Công Đoàn (Mã: LDA)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (5ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (5ngành)
- A00: Toán, Vật lí, Hóa học (4ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (9ngành)
- C01: Toán, Ngữ Văn, Vật lí (4ngành)
- A01: Toán, Vật lí, Tiếng Anh (20ngành)
- D07: Toán, Hóa học, Tiếng Anh (12ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (25ngành)
- D10: Toán, Địa lí, Tiếng Anh (12ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (4ngành)
- D09: Toán, Lịch sử, Tiếng Anh (12ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (5ngành)
- X25: Toán, Tiếng Anh, GDKTPL (12ngành)
- X05: Toán, Vật lí, GDKTPL (4ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (12ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (4ngành)
- D12: Ngữ văn, Hóa học, Tiếng Anh (4ngành)
- A03: Toán, Vật lí, Lịch sử (4ngành)
- C07: Ngữ văn, Lịch sử, Vật lí (5ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (4ngành)
- X79; TH9: Ngữ văn, Tiếng Anh, Tin học (4ngành)
- X71; TH11: Ngữ văn, Lịch sử, Tin học (5ngành)
