Trường: Phân hiệu Đại Học Lâm nghiệp tại Đồng Nai (Mã: LNS)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (12ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (5ngành)
- X01: Ngữ văn, Toán, GDKTPL (14ngành)
- A00: Toán, Vật lí, Hóa học (14ngành)
- C04: Ngữ văn, Toán, Địa lí (12ngành)
- C01: Toán, Ngữ Văn, Vật lí (2ngành)
- C02: Toán, Ngữ Văn, Hóa học (2ngành)
- A01: Toán, Vật lí, Tiếng Anh (2ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (14ngành)
- B00: Toán, Hóa học, Sinh học (7ngành)
- V01: Toán, Ngữ văn, Vẽ Hình họa mỹ thuật (1ngành)
- A07: Toán, Lịch sử, Địa lí (5ngành)
- V02: Toán, Tiếng Anh, Vẽ mỹ thuật (1ngành)
- H01: Toán, Ngữ văn, Vẽ Mỹ thuật (1ngành)
- H04: Toán, Tiếng Anh, Vẽ Năng khiếu (1ngành)
- V06: Toán, Địa lí, Vẽ mỹ thuật (1ngành)
- X02, K21, TH6, DK, F01, TH3: Toán, Ngữ văn, Tin học (14ngành)
- X03; TH8; K22; E01: Toán, Ngữ văn, Công nghệ công nghiệp (2ngành)
- X04; TH8; K22; E01: Toán, Ngữ văn, Công nghệ nông nghiệp (7ngành)
