Trường: Trường Đại Học Luật TPHCM (Mã: LPS)
Các khối thi / tổ hợp xét tuyển:

- C00: Ngữ văn, Lịch sử, Địa lí (1ngành)
- A00: Toán, Vật lí, Hóa học (7ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (3ngành)
- D03: Ngữ văn, Toán, Tiếng Pháp (1ngành)
- A01: Toán, Vật lí, Tiếng Anh (9ngành)
- D07: Toán, Hóa học, Tiếng Anh (9ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (11ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (2ngành)
- D06: Ngữ văn, Toán, Tiếng Nhật (1ngành)
- D10: Toán, Địa lí, Tiếng Anh (3ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (3ngành)
- D09: Toán, Lịch sử, Tiếng Anh (3ngành)
- D29: Toán, Vật lí, Tiếng Pháp (1ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (5ngành)
- D28: Toán, Vật lí, Tiếng Nhật (1ngành)
- D23: Toán, Hóa học, Tiếng Nhật (1ngành)
- D24: Toán, Hóa học, Tiếng Pháp (1ngành)
- D30: Toán, Vật lí, Tiếng Trung (1ngành)
- D25: Toán, Hóa học, Tiếng Trung (1ngành)
- X25: Toán, Tiếng Anh, GDKTPL (11ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (7ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (3ngành)
- D12: Ngữ văn, Hóa học, Tiếng Anh (3ngành)
- D45: Ngữ văn, Địa lí, Tiếng Trung (2ngành)
- D44: Ngữ văn, Địa lí, Tiếng Pháp (1ngành)
- D63: Ngữ văn, Lịch sử, Tiếng Nhật (1ngành)
- D64: Ngữ văn, Lịch sử, Tiếng Pháp (1ngành)
- D20: Toán, Địa lí, Tiếng Trung (2ngành)
- D43: Ngữ văn, Địa lí, Tiếng Nhật (1ngành)
- D55: Ngữ văn, Vật lí, Tiếng Trung (1ngành)
- D65: Ngữ văn, Lịch sử, Tiếng Trung (2ngành)
- D54: Ngữ văn, Vật lí, Tiếng Pháp (1ngành)
- X98: Văn, GDKTPL, Tiếng Nhật (1ngành)
- D39: Toán, Lịch sử, Tiếng Pháp (1ngành)
- D18: Toán, Địa lí, Tiếng Nhật (1ngành)
- D19: Toán, Địa lí, Tiếng Pháp (1ngành)
- D50: Ngữ văn, Hóa học, Tiếng Trung (1ngành)
- X79; TH9: Ngữ văn, Tiếng Anh, Tin học (1ngành)
- D38: Toán, Lịch sử, Tiếng Nhật (1ngành)
- D40: Toán, Lịch sử, Tiếng Trung (2ngành)
- X86: Ngữ văn, GDKTPL, Tiếng Pháp (1ngành)
- X45: Toán, GDKTPL, Tiếng Nhật (1ngành)
- X33: Toán, GDKTPL, Tiếng Pháp (1ngành)
- D48: Ngữ văn, Hóa học, Tiếng Nhật (1ngành)
- D49: Ngữ văn, Hóa học, Tiếng Pháp (1ngành)
- D53: Ngữ văn, Vật lí, Tiếng Nhật (1ngành)
- X37; D89: Toán, GDKTPL, Tiếng Trung (2ngành)
- X90: Ngữ văn, GDKTPL, Tiếng Trung (2ngành)
