Trường: Trường Đại Học Mở TPHCM (Mã: MBS)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (4ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (7ngành)
- X01: Ngữ văn, Toán, GDKTPL (7ngành)
- A00: Toán, Vật lí, Hóa học (43ngành)
- C04: Ngữ văn, Toán, Địa lí (3ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (17ngành)
- C01: Toán, Ngữ Văn, Vật lí (20ngành)
- C02: Toán, Ngữ Văn, Hóa học (20ngành)
- D03: Ngữ văn, Toán, Tiếng Pháp (4ngành)
- A02: Toán, Vật lí, Sinh học (4ngành)
- A01: Toán, Vật lí, Tiếng Anh (48ngành)
- D07: Toán, Hóa học, Tiếng Anh (50ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (63ngành)
- B00: Toán, Hóa học, Sinh học (13ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (6ngành)
- D06: Ngữ văn, Toán, Tiếng Nhật (6ngành)
- D10: Toán, Địa lí, Tiếng Anh (24ngành)
- B08: Toán, Sinh học, Tiếng Anh (4ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (4ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (15ngành)
- D08: Toán, Sinh học, Tiếng Anh (39ngành)
- D09: Toán, Lịch sử, Tiếng Anh (17ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (7ngành)
- D05: Ngữ văn, Toán, Tiếng Đức (4ngành)
- D02: Ngữ văn, Toán, Tiếng Nga (4ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (17ngành)
- B03: Toán, Ngữ văn, Sinh học (24ngành)
- X25: Toán, Tiếng Anh, GDKTPL (15ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (46ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (10ngành)
- D13: Ngữ văn, Sinh học, Tiếng Anh (9ngành)
- D12: Ngữ văn, Hóa học, Tiếng Anh (10ngành)
- D45: Ngữ văn, Địa lí, Tiếng Trung (6ngành)
- D44: Ngữ văn, Địa lí, Tiếng Pháp (4ngành)
- D63: Ngữ văn, Lịch sử, Tiếng Nhật (6ngành)
- D64: Ngữ văn, Lịch sử, Tiếng Pháp (4ngành)
- D42: Ngữ văn, Địa lí, Tiếng Nga (4ngành)
- D43: Ngữ văn, Địa lí, Tiếng Nhật (6ngành)
- D55: Ngữ văn, Vật lí, Tiếng Trung (2ngành)
- D65: Ngữ văn, Lịch sử, Tiếng Trung (6ngành)
- D61: Ngữ văn, Lịch sử, Tiếng Đức (4ngành)
- D62: Ngữ văn, Lịch sử, Tiếng Nga (4ngành)
- X98: Văn, GDKTPL, Tiếng Nhật (6ngành)
- X94: Ngữ Văn, GDKTPL, Tiếng Đức (4ngành)
- X02, K21, TH6, DK, F01, TH3: Toán, Ngữ văn, Tin học (39ngành)
