Trường: Trường Đại Học Hà Nội (Mã: NHF)
Các khối thi / tổ hợp xét tuyển:

- D14: Ngữ văn, Lịch sử, Tiếng Anh (3ngành)
- D03: Ngữ văn, Toán, Tiếng Pháp (3ngành)
- A01: Toán, Vật lí, Tiếng Anh (3ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (29ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (5ngành)
- D06: Ngữ văn, Toán, Tiếng Nhật (3ngành)
- D10: Toán, Địa lí, Tiếng Anh (7ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (3ngành)
- D05: Ngữ văn, Toán, Tiếng Đức (1ngành)
- D02: Ngữ văn, Toán, Tiếng Nga (1ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (2ngành)
- DD2: Ngữ văn, Toán, Tiếng Hàn (2ngành)
