Trường: Đại Học Phenikaa (Mã: PKA)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (31ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (13ngành)
- X01: Ngữ văn, Toán, GDKTPL (18ngành)
- A00: Toán, Vật lí, Hóa học (71ngành)
- C04: Ngữ văn, Toán, Địa lí (19ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (14ngành)
- C01: Toán, Ngữ Văn, Vật lí (37ngành)
- C02: Toán, Ngữ Văn, Hóa học (31ngành)
- D03: Ngữ văn, Toán, Tiếng Pháp (1ngành)
- A02: Toán, Vật lí, Sinh học (36ngành)
- A01: Toán, Vật lí, Tiếng Anh (66ngành)
- D07: Toán, Hóa học, Tiếng Anh (65ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (55ngành)
- B00: Toán, Hóa học, Sinh học (21ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (7ngành)
- D06: Ngữ văn, Toán, Tiếng Nhật (5ngành)
- D10: Toán, Địa lí, Tiếng Anh (29ngành)
- B08: Toán, Sinh học, Tiếng Anh (25ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (2ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (12ngành)
- D08: Toán, Sinh học, Tiếng Anh (27ngành)
- D09: Toán, Lịch sử, Tiếng Anh (27ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (11ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (14ngành)
- D28: Toán, Vật lí, Tiếng Nhật (1ngành)
- X21: Toán, Địa lí, GDKTPL (14ngành)
- D23: Toán, Hóa học, Tiếng Nhật (1ngành)
- D30: Toán, Vật lí, Tiếng Trung (1ngành)
- A07: Toán, Lịch sử, Địa lí (17ngành)
- AH1: Toán, Địa lí, Tiếng Hàn (1ngành)
- B03: Toán, Ngữ văn, Sinh học (12ngành)
- X25: Toán, Tiếng Anh, GDKTPL (36ngành)
- X13: Toán, Sinh học, GDKTPL (4ngành)
- A04: Toán, Vật lí, Địa lí (32ngành)
- X05: Toán, Vật lí, GDKTPL (20ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (43ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (25ngành)
- D13: Ngữ văn, Sinh học, Tiếng Anh (8ngành)
- A05: Toán, Hóa học, Lịch sử (23ngành)
- A06: Toán, Hóa học, Địa lí (21ngành)
- X17: Toán, Lịch sử, GDKTPL (17ngành)
- X09: Toán, Hóa học, GDKTPL (15ngành)
- B02: Toán, Sinh học, Địa lí (4ngành)
- C05: Ngữ văn, Vật lí, Hóa học (3ngành)
- D12: Ngữ văn, Hóa học, Tiếng Anh (19ngành)
- D45: Ngữ văn, Địa lí, Tiếng Trung (6ngành)
- A03: Toán, Vật lí, Lịch sử (28ngành)
- D63: Ngữ văn, Lịch sử, Tiếng Nhật (6ngành)
- D20: Toán, Địa lí, Tiếng Trung (1ngành)
- D42: Ngữ văn, Địa lí, Tiếng Nga (6ngành)
- D43: Ngữ văn, Địa lí, Tiếng Nhật (6ngành)
- D55: Ngữ văn, Vật lí, Tiếng Trung (6ngành)
- D65: Ngữ văn, Lịch sử, Tiếng Trung (6ngành)
- B01: Toán, Lịch sử, Sinh học (4ngành)
- X02, K21, TH6, DK, F01, TH3: Toán, Ngữ văn, Tin học (16ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (26ngành)
- K00: Toán, Đọc hiểu, Tư duy Khoa học Giải quyết vấn đề (84ngành)
- X07, A0C, TH3, TH4: Toán, Vật lí, Công nghệ công nghiệp (10ngành)
- X11, B0C, TH5: Toán, Hóa học, Công nghệ công nghiệp (5ngành)
- X27; D0C; K20; TH5; TH7: Toán, Tiếng Anh, Công nghệ công nghiệp (18ngành)
- X28, K20, D0C: Toán, Tiếng Anh, Công nghệ nông nghiệp (4ngành)
- X12: Toán, Hóa học, Công nghệ nông nghiệp (1ngành)
- X15: Toán, Sinh học, Công nghệ công nghiệp (10ngành)
- X14: Toán, Sinh học, Tin học (12ngành)
- X10, TH4: Toán, Hoá, Tin (14ngành)
- X75: Ngữ văn, Địa lí, Tin học (2ngành)
- X46: Toán, Tiếng Nhật, Tin học (1ngành)
- X22: Toán, Địa lí, Tin học (3ngành)
- X79; TH9: Ngữ văn, Tiếng Anh, Tin học (9ngành)
- Q00: Tư duy định lượng, Tư duy định tính, Khoa học/ Tiếng Anh (84ngành)
- X53: Toán, GDKTPL, Tin học (1ngành)
- DD2: Ngữ văn, Toán, Tiếng Hàn (1ngành)
- D53: Ngữ văn, Vật lí, Tiếng Nhật (6ngành)
- X37; D89: Toán, GDKTPL, Tiếng Trung (1ngành)
- X54: Toán, GDKTPL, Công nghệ công nghiệp (4ngành)
- X56: Toán, Tin học, Công nghệ công nghiệp (4ngành)
- DH1: Ngữ văn, Địa lí, Tiếng Hàn (1ngành)
- DH5: Ngữ văn, Lịch sử, Tiếng Hàn (1ngành)
