Trường: Trường Đại Học Ngoại Ngữ - ĐH Quốc gia Hà Nội (Mã: QHF)
Các khối thi / tổ hợp xét tuyển:

- D14: Ngữ văn, Lịch sử, Tiếng Anh (16ngành)
- D03: Ngữ văn, Toán, Tiếng Pháp (1ngành)
- A01: Toán, Vật lí, Tiếng Anh (16ngành)
- D07: Toán, Hóa học, Tiếng Anh (16ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (16ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (2ngành)
- D06: Ngữ văn, Toán, Tiếng Nhật (2ngành)
- D10: Toán, Địa lí, Tiếng Anh (1ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (16ngành)
- D08: Toán, Sinh học, Tiếng Anh (16ngành)
- D09: Toán, Lịch sử, Tiếng Anh (1ngành)
- D05: Ngữ văn, Toán, Tiếng Đức (2ngành)
- D02: Ngữ văn, Toán, Tiếng Nga (1ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (1ngành)
- D13: Ngữ văn, Sinh học, Tiếng Anh (1ngành)
- D12: Ngữ văn, Hóa học, Tiếng Anh (1ngành)
- D45: Ngữ văn, Địa lí, Tiếng Trung (2ngành)
- D44: Ngữ văn, Địa lí, Tiếng Pháp (1ngành)
- D63: Ngữ văn, Lịch sử, Tiếng Nhật (2ngành)
- D64: Ngữ văn, Lịch sử, Tiếng Pháp (1ngành)
- D42: Ngữ văn, Địa lí, Tiếng Nga (1ngành)
- D43: Ngữ văn, Địa lí, Tiếng Nhật (2ngành)
- D65: Ngữ văn, Lịch sử, Tiếng Trung (2ngành)
- D61: Ngữ văn, Lịch sử, Tiếng Đức (2ngành)
- D62: Ngữ văn, Lịch sử, Tiếng Nga (1ngành)
- D41: Ngữ văn, Địa lí, Tiếng Đức (2ngành)
- Q00: Tư duy định lượng, Tư duy định tính, Khoa học/ Tiếng Anh (16ngành)
- DD2: Ngữ văn, Toán, Tiếng Hàn (2ngành)
- DH1: Ngữ văn, Địa lí, Tiếng Hàn (2ngành)
- DH5: Ngữ văn, Lịch sử, Tiếng Hàn (2ngành)
