Trường: Trường Đại học Luật – ĐHQG Hà Nội (Mã: QHL)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (3ngành)
- C04: Ngữ văn, Toán, Địa lí (3ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (3ngành)
- C01: Toán, Ngữ Văn, Vật lí (3ngành)
- C02: Toán, Ngữ Văn, Hóa học (3ngành)
- D03: Ngữ văn, Toán, Tiếng Pháp (3ngành)
- A01: Toán, Vật lí, Tiếng Anh (3ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (3ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (3ngành)
- A07: Toán, Lịch sử, Địa lí (3ngành)
- Q00: Tư duy định lượng, Tư duy định tính, Khoa học/ Tiếng Anh (3ngành)
