Trường: Trường Đại Học Giáo Dục - ĐHQG Hà Nội (Mã: QHS)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (6ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (7ngành)
- A00: Toán, Vật lí, Hóa học (8ngành)
- C04: Ngữ văn, Toán, Địa lí (5ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (2ngành)
- C01: Toán, Ngữ Văn, Vật lí (6ngành)
- C02: Toán, Ngữ Văn, Hóa học (6ngành)
- A02: Toán, Vật lí, Sinh học (3ngành)
- A01: Toán, Vật lí, Tiếng Anh (4ngành)
- D07: Toán, Hóa học, Tiếng Anh (1ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (6ngành)
- B00: Toán, Hóa học, Sinh học (8ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (4ngành)
- B08: Toán, Sinh học, Tiếng Anh (1ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (1ngành)
- D09: Toán, Lịch sử, Tiếng Anh (1ngành)
- A07: Toán, Lịch sử, Địa lí (2ngành)
- B03: Toán, Ngữ văn, Sinh học (2ngành)
