Trường: Trường Đại Học Sư Phạm Hà Nội 2 (Mã: SP2)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (1ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (4ngành)
- X01: Ngữ văn, Toán, GDKTPL (1ngành)
- A00: Toán, Vật lí, Hóa học (9ngành)
- C04: Ngữ văn, Toán, Địa lí (1ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (9ngành)
- C01: Toán, Ngữ Văn, Vật lí (3ngành)
- A02: Toán, Vật lí, Sinh học (2ngành)
- A01: Toán, Vật lí, Tiếng Anh (10ngành)
- D07: Toán, Hóa học, Tiếng Anh (4ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (12ngành)
- B00: Toán, Hóa học, Sinh học (5ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (1ngành)
- B08: Toán, Sinh học, Tiếng Anh (2ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (2ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (1ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (4ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (3ngành)
- A07: Toán, Lịch sử, Địa lí (2ngành)
- T00: Toán, Sinh học, Năng khiếu TDTT (2ngành)
- B03: Toán, Ngữ văn, Sinh học (4ngành)
- T05: Ngữ văn, GDKTPL, Năng khiếu thể dục thể thao (2ngành)
- M01: Ngữ văn, Lịch sử, Năng khiếu (1ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (2ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (2ngành)
- T01: Toán, Ngữ văn, Năng khiếu TDTT (2ngành)
- D12: Ngữ văn, Hóa học, Tiếng Anh (2ngành)
- X02, K21, TH6, DK, F01, TH3: Toán, Ngữ văn, Tin học (1ngành)
- R03: Ngữ văn, tiếng Anh, Năng khiếu nghệ thuật (1ngành)
- X10, TH4: Toán, Hoá, Tin (2ngành)
- K01: Toán, Văn, Lý/Hóa/Sinh/Tin (1ngành)
- M06: Ngữ Văn, Toán, Năng khiếu Giáo dục mầm non (1ngành)
