Trường: Trường Đại học Thủ Dầu Một (Mã: TDM)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (13ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (11ngành)
- X01: Ngữ văn, Toán, GDKTPL (24ngành)
- A00: Toán, Vật lí, Hóa học (33ngành)
- C04: Ngữ văn, Toán, Địa lí (11ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (14ngành)
- C01: Toán, Ngữ Văn, Vật lí (28ngành)
- C02: Toán, Ngữ Văn, Hóa học (9ngành)
- A02: Toán, Vật lí, Sinh học (26ngành)
- A01: Toán, Vật lí, Tiếng Anh (30ngành)
- D07: Toán, Hóa học, Tiếng Anh (23ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (40ngành)
- B00: Toán, Hóa học, Sinh học (7ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (1ngành)
- D10: Toán, Địa lí, Tiếng Anh (1ngành)
- B08: Toán, Sinh học, Tiếng Anh (5ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (10ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (13ngành)
- D09: Toán, Lịch sử, Tiếng Anh (1ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (11ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (3ngành)
- V00: Toán, Vật lí, Vẽ Hình họa mỹ thuật (2ngành)
- V01: Toán, Ngữ văn, Vẽ Hình họa mỹ thuật (2ngành)
- V02: Toán, Tiếng Anh, Vẽ mỹ thuật (2ngành)
- B03: Toán, Ngữ văn, Sinh học (3ngành)
- A04: Toán, Vật lí, Địa lí (5ngành)
- X05: Toán, Vật lí, GDKTPL (10ngành)
- M01: Ngữ văn, Lịch sử, Năng khiếu (1ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (4ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (3ngành)
- M00: Ngữ văn, Toán, Đọc diễn cảm, Hát (1ngành)
- D13: Ngữ văn, Sinh học, Tiếng Anh (3ngành)
- A05: Toán, Hóa học, Lịch sử (1ngành)
- A06: Toán, Hóa học, Địa lí (1ngành)
- X09: Toán, Hóa học, GDKTPL (12ngành)
- B02: Toán, Sinh học, Địa lí (2ngành)
- M02: Toán, Năng khiếu 1, Năng khiếu 2 (1ngành)
- D12: Ngữ văn, Hóa học, Tiếng Anh (3ngành)
- M03: Văn, Năng khiếu 1, Năng khiếu 2 (1ngành)
- N01: Ngữ văn, xướng âm, biểu diễn nghệ thuật (1ngành)
- A03: Toán, Vật lí, Lịch sử (5ngành)
- V03: Vẽ mỹ thuật, Toán, Hóa (1ngành)
- V06: Toán, Địa lí, Vẽ mỹ thuật (1ngành)
- V05: Văn, Vật lí, Vẽ mỹ thuật (1ngành)
- N05: Ngữ Văn, Xây dựng kịch bản sự kiện, Năng khiếu (1ngành)
- V07: Toán, tiếng Đức, Vẽ mỹ thuật (1ngành)
- M04: Toán, Đọc kể diễn cảm, Hát - Múa (1ngành)
- V08: Toán, tiếng Nga, Vẽ mỹ thuật (1ngành)
- V09: Toán, tiếng Nhật, Vẽ mỹ thuật (1ngành)
- N02: Ngữ văn, Ký xướng âm, Hát hoặc biểu diễn nhạc cụ (1ngành)
- C07: Ngữ văn, Lịch sử, Vật lí (10ngành)
- C10: Ngữ văn, Lịch sử, Hóa học (2ngành)
- C12: Ngữ văn, Lịch sử, Sinh học (1ngành)
- N03: Ngữ văn, Tiếng Anh, Năng khiếu âm nhạc (1ngành)
- N04: Ngữ Văn, Năng khiếu thuyết trình, Năng khiếu (1ngành)
- X02, K21, TH6, DK, F01, TH3: Toán, Ngữ văn, Tin học (24ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (7ngành)
- X08: Toán, Vật lí, Công nghệ nông nghiệp (3ngành)
- X07, A0C, TH3, TH4: Toán, Vật lí, Công nghệ công nghiệp (6ngành)
- X11, B0C, TH5: Toán, Hóa học, Công nghệ công nghiệp (2ngành)
- X12: Toán, Hóa học, Công nghệ nông nghiệp (8ngành)
- X15: Toán, Sinh học, Công nghệ công nghiệp (1ngành)
- X16: Toán, Sinh học, Công nghệ nông nghiệp (3ngành)
- X14: Toán, Sinh học, Tin học (1ngành)
- X10, TH4: Toán, Hoá, Tin (10ngành)
- X03; TH8; K22; E01: Toán, Ngữ văn, Công nghệ công nghiệp (13ngành)
- X79; TH9: Ngữ văn, Tiếng Anh, Tin học (3ngành)
- X71; TH11: Ngữ văn, Lịch sử, Tin học (1ngành)
- DD2: Ngữ văn, Toán, Tiếng Hàn (1ngành)
- M05: Ngữ văn, Khoa học xã hội, Năng khiếu (1ngành)
- M06: Ngữ Văn, Toán, Năng khiếu Giáo dục mầm non (1ngành)
- X72: Ngữ văn, Lịch sử, Công nghệ công nghiệp (1ngành)
- X73: Ngữ văn, Lịch sử, Công nghệ nông nghiệp (1ngành)
- X81: Ngữ văn, Tiếng Anh, Công nghệ nông nghiệp (3ngành)
- X80: Ngữ văn, Tiếng Anh, Công nghệ công nghiệp (1ngành)
