Trường: Trường Đại Học Hải Phòng (Mã: THP)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (21ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (8ngành)
- X01: Ngữ văn, Toán, GDKTPL (3ngành)
- A00: Toán, Vật lí, Hóa học (28ngành)
- C04: Ngữ văn, Toán, Địa lí (21ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (7ngành)
- C01: Toán, Ngữ Văn, Vật lí (27ngành)
- C02: Toán, Ngữ Văn, Hóa học (9ngành)
- A02: Toán, Vật lí, Sinh học (6ngành)
- A01: Toán, Vật lí, Tiếng Anh (28ngành)
- D07: Toán, Hóa học, Tiếng Anh (5ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (38ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (2ngành)
- D06: Ngữ văn, Toán, Tiếng Nhật (1ngành)
- D10: Toán, Địa lí, Tiếng Anh (2ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (9ngành)
- D09: Toán, Lịch sử, Tiếng Anh (3ngành)
- V01: Toán, Ngữ văn, Vẽ Hình họa mỹ thuật (1ngành)
- T00: Toán, Sinh học, Năng khiếu TDTT (1ngành)
- M01: Ngữ văn, Lịch sử, Năng khiếu (1ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (3ngành)
- M00: Ngữ văn, Toán, Đọc diễn cảm, Hát (1ngành)
- T02: Ngữ văn, Sinh, Năng khiếu TDTT (1ngành)
- T01: Toán, Ngữ văn, Năng khiếu TDTT (1ngành)
- M02: Toán, Năng khiếu 1, Năng khiếu 2 (1ngành)
- D45: Ngữ văn, Địa lí, Tiếng Trung (1ngành)
- M03: Văn, Năng khiếu 1, Năng khiếu 2 (1ngành)
- M04: Toán, Đọc kể diễn cảm, Hát - Múa (1ngành)
- K00: Toán, Đọc hiểu, Tư duy Khoa học Giải quyết vấn đề (33ngành)
- Q00: Tư duy định lượng, Tư duy định tính, Khoa học/ Tiếng Anh (33ngành)
- DD2: Ngữ văn, Toán, Tiếng Hàn (1ngành)
