Trường: Trường Đại Học Hùng Vương (Mã: THV)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (1ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (6ngành)
- X01: Ngữ văn, Toán, GDKTPL (5ngành)
- A00: Toán, Vật lí, Hóa học (5ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (5ngành)
- C01: Toán, Ngữ Văn, Vật lí (1ngành)
- A01: Toán, Vật lí, Tiếng Anh (3ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (20ngành)
- B00: Toán, Hóa học, Sinh học (5ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (1ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (6ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (2ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (6ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (3ngành)
- B03: Toán, Ngữ văn, Sinh học (1ngành)
- X25: Toán, Tiếng Anh, GDKTPL (6ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (1ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (3ngành)
- X14: Toán, Sinh học, Tin học (5ngành)
- X53: Toán, GDKTPL, Tin học (4ngành)
- X55: Toán, GDKTPL, Công nghệ nông nghiệp (3ngành)
