Trường: Trường Đại học Kiên Giang (Mã: TKG)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (7ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (6ngành)
- X01: Ngữ văn, Toán, GDKTPL (5ngành)
- A00: Toán, Vật lí, Hóa học (18ngành)
- C04: Ngữ văn, Toán, Địa lí (4ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (2ngành)
- A02: Toán, Vật lí, Sinh học (6ngành)
- A01: Toán, Vật lí, Tiếng Anh (17ngành)
- D07: Toán, Hóa học, Tiếng Anh (2ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (23ngành)
- B00: Toán, Hóa học, Sinh học (7ngành)
- D10: Toán, Địa lí, Tiếng Anh (1ngành)
- B08: Toán, Sinh học, Tiếng Anh (4ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (5ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (4ngành)
- D08: Toán, Sinh học, Tiếng Anh (1ngành)
- D09: Toán, Lịch sử, Tiếng Anh (14ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (2ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (3ngành)
- X21: Toán, Địa lí, GDKTPL (16ngành)
- A07: Toán, Lịch sử, Địa lí (1ngành)
- B03: Toán, Ngữ văn, Sinh học (6ngành)
- C08: Ngữ văn, Hóa học, Sinh học (2ngành)
- X13: Toán, Sinh học, GDKTPL (2ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (2ngành)
- X17: Toán, Lịch sử, GDKTPL (12ngành)
- C13: Ngữ văn, Sinh học, Địa lí (3ngành)
- B01: Toán, Lịch sử, Sinh học (5ngành)
