Trường: Trường Đại học Tân Trào (Mã: TQU)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (12ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (8ngành)
- X01: Ngữ văn, Toán, GDKTPL (12ngành)
- A00: Toán, Vật lí, Hóa học (7ngành)
- C04: Ngữ văn, Toán, Địa lí (9ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (8ngành)
- C01: Toán, Ngữ Văn, Vật lí (3ngành)
- C02: Toán, Ngữ Văn, Hóa học (4ngành)
- A02: Toán, Vật lí, Sinh học (5ngành)
- A01: Toán, Vật lí, Tiếng Anh (5ngành)
- D07: Toán, Hóa học, Tiếng Anh (3ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (13ngành)
- B00: Toán, Hóa học, Sinh học (8ngành)
- B08: Toán, Sinh học, Tiếng Anh (4ngành)
- X74: Ngữ văn, Địa lí, GDKTPL (8ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (7ngành)
- D09: Toán, Lịch sử, Tiếng Anh (4ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (8ngành)
- T00: Toán, Sinh học, Năng khiếu TDTT (1ngành)
- B03: Toán, Ngữ văn, Sinh học (3ngành)
- C08: Ngữ văn, Hóa học, Sinh học (4ngành)
- X25: Toán, Tiếng Anh, GDKTPL (5ngành)
- T05: Ngữ văn, GDKTPL, Năng khiếu thể dục thể thao (1ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (5ngành)
- T02: Ngữ văn, Sinh, Năng khiếu TDTT (1ngành)
- T01: Toán, Ngữ văn, Năng khiếu TDTT (1ngành)
- A05: Toán, Hóa học, Lịch sử (1ngành)
- B02: Toán, Sinh học, Địa lí (3ngành)
- C05: Ngữ văn, Vật lí, Hóa học (1ngành)
- D12: Ngữ văn, Hóa học, Tiếng Anh (1ngành)
- B01: Toán, Lịch sử, Sinh học (4ngành)
- X02, K21, TH6, DK, F01, TH3: Toán, Ngữ văn, Tin học (5ngành)
- T10: Toán, Vật lý, Năng khiếu Thể dục Thể thao (1ngành)
- T08: Toán, GDKTPL, Năng khiếu Thể dục thể thao (1ngành)
- T09: Ngữ văn, Lịch sử, năng khiếu thể dục thể thao (1ngành)
