Trường: Trường Đại Học Nha Trang (Mã: TSN)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (6ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (1ngành)
- X01: Ngữ văn, Toán, GDKTPL (18ngành)
- C04: Ngữ văn, Toán, Địa lí (17ngành)
- C01: Toán, Ngữ Văn, Vật lí (18ngành)
- C02: Toán, Ngữ Văn, Hóa học (13ngành)
- D03: Ngữ văn, Toán, Tiếng Pháp (1ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (51ngành)
- D06: Ngữ văn, Toán, Tiếng Nhật (1ngành)
- B03: Toán, Ngữ văn, Sinh học (12ngành)
- X02, K21, TH6, DK, F01, TH3: Toán, Ngữ văn, Tin học (37ngành)
- X03; TH8; K22; E01: Toán, Ngữ văn, Công nghệ công nghiệp (32ngành)
- Q00: Tư duy định lượng, Tư duy định tính, Khoa học/ Tiếng Anh (52ngành)
