Trường: Trường Đại Học Tây Nguyên (Mã: TTN)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (7ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (4ngành)
- X01: Ngữ văn, Toán, GDKTPL (3ngành)
- A00: Toán, Vật lí, Hóa học (7ngành)
- C04: Ngữ văn, Toán, Địa lí (3ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (6ngành)
- C01: Toán, Ngữ Văn, Vật lí (1ngành)
- C02: Toán, Ngữ Văn, Hóa học (1ngành)
- A02: Toán, Vật lí, Sinh học (7ngành)
- A01: Toán, Vật lí, Tiếng Anh (13ngành)
- D07: Toán, Hóa học, Tiếng Anh (10ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (13ngành)
- B00: Toán, Hóa học, Sinh học (13ngành)
- B08: Toán, Sinh học, Tiếng Anh (11ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (2ngành)
- D09: Toán, Lịch sử, Tiếng Anh (8ngành)
- X70: Ngữ văn, Lịch sử, GDKTPL (4ngành)
- B03: Toán, Ngữ văn, Sinh học (11ngành)
- X25: Toán, Tiếng Anh, GDKTPL (8ngành)
- A04: Toán, Vật lí, Địa lí (2ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (2ngành)
- B02: Toán, Sinh học, Địa lí (5ngành)
- D12: Ngữ văn, Hóa học, Tiếng Anh (2ngành)
- A03: Toán, Vật lí, Lịch sử (1ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (4ngành)
- X11, B0C, TH5: Toán, Hóa học, Công nghệ công nghiệp (1ngành)
- X12: Toán, Hóa học, Công nghệ nông nghiệp (1ngành)
- X16: Toán, Sinh học, Công nghệ nông nghiệp (5ngành)
- X14: Toán, Sinh học, Tin học (1ngành)
- X10, TH4: Toán, Hoá, Tin (1ngành)
- X71; TH11: Ngữ văn, Lịch sử, Tin học (4ngành)
