Trường: Trường Đại học Tân Tạo (Mã: TTU)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (2ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (2ngành)
- X01: Ngữ văn, Toán, GDKTPL (8ngành)
- A00: Toán, Vật lí, Hóa học (14ngành)
- C04: Ngữ văn, Toán, Địa lí (1ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (4ngành)
- C01: Toán, Ngữ Văn, Vật lí (7ngành)
- A02: Toán, Vật lí, Sinh học (5ngành)
- A01: Toán, Vật lí, Tiếng Anh (16ngành)
- D07: Toán, Hóa học, Tiếng Anh (12ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (16ngành)
- B00: Toán, Hóa học, Sinh học (5ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (1ngành)
- B08: Toán, Sinh học, Tiếng Anh (5ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (3ngành)
- D08: Toán, Sinh học, Tiếng Anh (1ngành)
- B03: Toán, Ngữ văn, Sinh học (1ngành)
- X25: Toán, Tiếng Anh, GDKTPL (6ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (6ngành)
- X07, A0C, TH3, TH4: Toán, Vật lí, Công nghệ công nghiệp (4ngành)
- X27; D0C; K20; TH5; TH7: Toán, Tiếng Anh, Công nghệ công nghiệp (4ngành)
- X16: Toán, Sinh học, Công nghệ nông nghiệp (2ngành)
- X14: Toán, Sinh học, Tin học (1ngành)
- DD2: Ngữ văn, Toán, Tiếng Hàn (1ngành)
- X56: Toán, Tin học, Công nghệ công nghiệp (4ngành)
