Trường: Trường Đại học Quản lý và công nghệ TPHCM (Mã: UMT)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (7ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (6ngành)
- X01: Ngữ văn, Toán, GDKTPL (2ngành)
- A00: Toán, Vật lí, Hóa học (10ngành)
- C04: Ngữ văn, Toán, Địa lí (7ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (3ngành)
- C01: Toán, Ngữ Văn, Vật lí (10ngành)
- C02: Toán, Ngữ Văn, Hóa học (7ngành)
- D03: Ngữ văn, Toán, Tiếng Pháp (10ngành)
- A01: Toán, Vật lí, Tiếng Anh (10ngành)
- D07: Toán, Hóa học, Tiếng Anh (3ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (10ngành)
- D06: Ngữ văn, Toán, Tiếng Nhật (10ngành)
- B08: Toán, Sinh học, Tiếng Anh (7ngành)
- D02: Ngữ văn, Toán, Tiếng Nga (10ngành)
- D29: Toán, Vật lí, Tiếng Pháp (10ngành)
- D28: Toán, Vật lí, Tiếng Nhật (10ngành)
- D23: Toán, Hóa học, Tiếng Nhật (3ngành)
- D24: Toán, Hóa học, Tiếng Pháp (3ngành)
- D30: Toán, Vật lí, Tiếng Trung (10ngành)
- D25: Toán, Hóa học, Tiếng Trung (3ngành)
- H01: Toán, Ngữ văn, Vẽ Mỹ thuật (2ngành)
- A04: Toán, Vật lí, Địa lí (3ngành)
- H06: Ngữ văn, Tiếng Anh,Vẽ mỹ thuật (1ngành)
- H04: Toán, Tiếng Anh, Vẽ Năng khiếu (1ngành)
- A03: Toán, Vật lí, Lịch sử (3ngành)
- D63: Ngữ văn, Lịch sử, Tiếng Nhật (3ngành)
- D64: Ngữ văn, Lịch sử, Tiếng Pháp (3ngành)
- V03: Vẽ mỹ thuật, Toán, Hóa (1ngành)
- H08: Ngữ văn, Lịch sử, Vẽ mỹ thuật (1ngành)
- V06: Toán, Địa lí, Vẽ mỹ thuật (1ngành)
- D33: Toán, Sinh học, Tiếng Nhật (7ngành)
- D34: Toán, Sinh học, Tiếng Pháp (7ngành)
- V05: Văn, Vật lí, Vẽ mỹ thuật (1ngành)
- V10: Toán, tiếng Pháp, Vẽ mỹ thuật (1ngành)
- D35: Toán, Sinh học, Tiếng Trung (7ngành)
- D65: Ngữ văn, Lịch sử, Tiếng Trung (3ngành)
- V11: Toán, Tiếng Trung, Vẽ mỹ thuật (1ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (3ngành)
- AH3: Toán, Vật lí, Tiếng Hàn (10ngành)
- AH2: Toán, Hóa học, Tiếng Hàn (3ngành)
- V10: Toán, Tiếng Pháp, Vẽ mỹ thuật (1ngành)
- DH3: Ngữ văn, Vật lí, Tiếng Hàn (10ngành)
- H10; H11; H06: Ngữ Văn, Ngoại ngữ, năng khiếu (1ngành)
- DH5: Ngữ văn, Lịch sử, Tiếng Hàn (3ngành)
- AH4: Toán, Sinh học, Tiếng Hàn (7ngành)
