Trường: Trường Đại Học Văn Hóa TPHCM (Mã: VHS)
Các khối thi / tổ hợp xét tuyển:

- C03: Ngữ văn, Toán, Lịch sử (12ngành)
- C00: Ngữ văn, Lịch sử, Địa lí (12ngành)
- X01: Ngữ văn, Toán, GDKTPL (13ngành)
- C04: Ngữ văn, Toán, Địa lí (12ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (13ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (12ngành)
- D04: Ngữ văn, Toán, Tiếng Trung (8ngành)
- D10: Toán, Địa lí, Tiếng Anh (13ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (13ngành)
- D09: Toán, Lịch sử, Tiếng Anh (2ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (13ngành)
- X21: Toán, Địa lí, GDKTPL (11ngành)
- A07: Toán, Lịch sử, Địa lí (9ngành)
- X25: Toán, Tiếng Anh, GDKTPL (13ngành)
- A06: Toán, Hóa học, Địa lí (2ngành)
- X17: Toán, Lịch sử, GDKTPL (11ngành)
- R01: Ngữ văn, Địa lý, Năng khiếu nghệ thuật (1ngành)
- R03: Ngữ văn, tiếng Anh, Năng khiếu nghệ thuật (1ngành)
- R02: Ngữ văn, Toán, Năng khiếu nghệ thuật (1ngành)
- X22: Toán, Địa lí, Tin học (11ngành)
