Trường: Trường Đại học Việt Nhật - ĐHQG Hà Nội (Mã: VJU)
Các khối thi / tổ hợp xét tuyển:

- C00: Ngữ văn, Lịch sử, Địa lí (1ngành)
- A00: Toán, Vật lí, Hóa học (7ngành)
- D14: Ngữ văn, Lịch sử, Tiếng Anh (2ngành)
- C01: Toán, Ngữ Văn, Vật lí (5ngành)
- C02: Toán, Ngữ Văn, Hóa học (7ngành)
- A02: Toán, Vật lí, Sinh học (1ngành)
- A01: Toán, Vật lí, Tiếng Anh (7ngành)
- D07: Toán, Hóa học, Tiếng Anh (7ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (8ngành)
- B00: Toán, Hóa học, Sinh học (2ngành)
- D06: Ngữ văn, Toán, Tiếng Nhật (7ngành)
- D10: Toán, Địa lí, Tiếng Anh (1ngành)
- D15: Ngữ văn, Địa lí, Tiếng Anh (2ngành)
- D08: Toán, Sinh học, Tiếng Anh (2ngành)
- X78: Ngữ văn, GDKTPL, Tiếng Anh (2ngành)
- D28: Toán, Vật lí, Tiếng Nhật (7ngành)
- D23: Toán, Hóa học, Tiếng Nhật (7ngành)
- D11: Ngữ văn, Vật lí, Tiếng Anh (2ngành)
- D12: Ngữ văn, Hóa học, Tiếng Anh (1ngành)
- D63: Ngữ văn, Lịch sử, Tiếng Nhật (1ngành)
- D33: Toán, Sinh học, Tiếng Nhật (2ngành)
- D43: Ngữ văn, Địa lí, Tiếng Nhật (1ngành)
- X98: Văn, GDKTPL, Tiếng Nhật (1ngành)
- D18: Toán, Địa lí, Tiếng Nhật (1ngành)
- D53: Ngữ văn, Vật lí, Tiếng Nhật (1ngành)
