Trường: Trường Đại Học Xây Dựng Hà Nội (Mã: XDA)
Các khối thi / tổ hợp xét tuyển:

- A00: Toán, Vật lí, Hóa học (37ngành)
- C01: Toán, Ngữ Văn, Vật lí (37ngành)
- C02: Toán, Ngữ Văn, Hóa học (4ngành)
- A02: Toán, Vật lí, Sinh học (4ngành)
- A01: Toán, Vật lí, Tiếng Anh (37ngành)
- D07: Toán, Hóa học, Tiếng Anh (23ngành)
- D01: Toán, Ngữ Văn, Tiếng Anh (22ngành)
- B00: Toán, Hóa học, Sinh học (4ngành)
- D29: Toán, Vật lí, Tiếng Pháp (2ngành)
- V00: Toán, Vật lí, Vẽ Hình họa mỹ thuật (5ngành)
- D24: Toán, Hóa học, Tiếng Pháp (2ngành)
- H00: Ngữ văn, Năng khiếu vẽ Nghệ thuật 1, Năng khiếu vẽ Nghệ thuật 2 (4ngành)
- V01: Toán, Ngữ văn, Vẽ Hình họa mỹ thuật (1ngành)
- V02: Toán, Tiếng Anh, Vẽ mỹ thuật (5ngành)
- X05: Toán, Vật lí, GDKTPL (9ngành)
- X26, K01: Toán, Tiếng Anh, Tin học (16ngành)
- V06: Toán, Địa lí, Vẽ mỹ thuật (1ngành)
- H07: Toán, Hình họa, Trang trí (4ngành)
- V10: Toán, tiếng Pháp, Vẽ mỹ thuật (1ngành)
- X06, A0T, GT1, TH1: Toán, Vật lí, Tin học (37ngành)
- K00: Toán, Đọc hiểu, Tư duy Khoa học Giải quyết vấn đề (37ngành)
- X14: Toán, Sinh học, Tin học (2ngành)
- V10: Toán, Tiếng Pháp, Vẽ mỹ thuật (1ngành)
