Mã khối,Môn xét tuyển,Mã trường,Tên trường,Số ngành
C03,"Ngữ văn, Toán, Lịch sử",NHH,Học Viện Ngân Hàng,3ngành
C03,"Ngữ văn, Toán, Lịch sử",SPH,Trường Đại Học Sư Phạm Hà Nội,4ngành
C03,"Ngữ văn, Toán, Lịch sử",SPS,Trường Đại Học Sư Phạm TPHCM,6ngành
C03,"Ngữ văn, Toán, Lịch sử",HNM,Trường Đại học Thủ Đô Hà Nội,9ngành
C03,"Ngữ văn, Toán, Lịch sử",DCN,Đại Học Công Nghiệp Hà Nội,1ngành
C03,"Ngữ văn, Toán, Lịch sử",HPN,Học Viện Phụ Nữ Việt Nam,15ngành
C03,"Ngữ văn, Toán, Lịch sử",ANH,Học Viện An Ninh Nhân Dân,2ngành
C03,"Ngữ văn, Toán, Lịch sử",DKK,Trường Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,21ngành
C03,"Ngữ văn, Toán, Lịch sử",DCT,Trường Đại Học Công Thương TPHCM,11ngành
C03,"Ngữ văn, Toán, Lịch sử",HHK,Học Viện Hàng không Việt Nam,33ngành
C03,"Ngữ văn, Toán, Lịch sử",PKA,Đại Học Phenikaa,31ngành
C03,"Ngữ văn, Toán, Lịch sử",TDM,Trường Đại học Thủ Dầu Một,13ngành
C03,"Ngữ văn, Toán, Lịch sử",DTL,Trường Đại Học Thăng Long,5ngành
C03,"Ngữ văn, Toán, Lịch sử",TLA,Trường Đại Học Thủy Lợi,2ngành
C03,"Ngữ văn, Toán, Lịch sử",VHH,Trường Đại Học Văn Hóa Hà Nội,19ngành
C03,"Ngữ văn, Toán, Lịch sử",DTT,Trường Đại Học Tôn Đức Thắng,11ngành
C03,"Ngữ văn, Toán, Lịch sử",HVN,Học Viện Nông Nghiệp Việt Nam,20ngành
C03,"Ngữ văn, Toán, Lịch sử",HBT,Học viện Báo chí và Tuyên truyền,14ngành
C03,"Ngữ văn, Toán, Lịch sử",QHT,Trường Đại Học Khoa Học Tự Nhiên Hà Nội,6ngành
C03,"Ngữ văn, Toán, Lịch sử",QHE,Trường Đại Học Kinh Tế - ĐHQG Hà Nội,8ngành
C03,"Ngữ văn, Toán, Lịch sử",DTS,Đại Học Sư Phạm Thái Nguyên,2ngành
C03,"Ngữ văn, Toán, Lịch sử",LCH,Trường Sĩ Quan Chính Trị - Đại Học Chính Trị,2ngành
C03,"Ngữ văn, Toán, Lịch sử",TCT,Đại Học Cần Thơ,1ngành
C03,"Ngữ văn, Toán, Lịch sử",DKS,Trường Đại học Kiểm Sát,7ngành
C03,"Ngữ văn, Toán, Lịch sử",BPH,Học Viện Biên Phòng,5ngành
C03,"Ngữ văn, Toán, Lịch sử",QHL,Trường Đại học Luật – ĐHQG Hà Nội,3ngành
C03,"Ngữ văn, Toán, Lịch sử",DHS,Trường Đại Học Sư Phạm Huế,3ngành
C03,"Ngữ văn, Toán, Lịch sử",SGD,Trường Đại Học Sài Gòn,34ngành
C03,"Ngữ văn, Toán, Lịch sử",DDS,Trường Đại Học Sư Phạm - Đại Học Đà Nẵng,11ngành
C03,"Ngữ văn, Toán, Lịch sử",SP2,Trường Đại Học Sư Phạm Hà Nội 2,1ngành
C03,"Ngữ văn, Toán, Lịch sử",QHS,Trường Đại Học Giáo Dục - ĐHQG Hà Nội,6ngành
C03,"Ngữ văn, Toán, Lịch sử",VHS,Trường Đại Học Văn Hóa TPHCM,12ngành
C03,"Ngữ văn, Toán, Lịch sử",DMS,Trường Đại Học Tài Chính Marketing,21ngành
C03,"Ngữ văn, Toán, Lịch sử",TSN,Trường Đại Học Nha Trang,6ngành
C03,"Ngữ văn, Toán, Lịch sử",THV,Trường Đại Học Hùng Vương,1ngành
C03,"Ngữ văn, Toán, Lịch sử",THP,Trường Đại Học Hải Phòng,21ngành
C03,"Ngữ văn, Toán, Lịch sử",LDA,Trường Đại Học Công Đoàn,5ngành
C03,"Ngữ văn, Toán, Lịch sử",HHA,Trường Đại Học Hàng Hải Việt Nam,13ngành
C03,"Ngữ văn, Toán, Lịch sử",TDV,Trường Đại Học Vinh,7ngành
C03,"Ngữ văn, Toán, Lịch sử",HCH,Học Viện Hành Chính và Quản trị công,11ngành
C03,"Ngữ văn, Toán, Lịch sử",SPD,Trường Đại Học Đồng Tháp,11ngành
C03,"Ngữ văn, Toán, Lịch sử",QHK,Trường Khoa học liên ngành và Nghệ thuật Hà Nội,4ngành
C03,"Ngữ văn, Toán, Lịch sử",TTN,Trường Đại Học Tây Nguyên,7ngành
C03,"Ngữ văn, Toán, Lịch sử",DQN,Trường Đại Học Quy Nhơn,9ngành
C03,"Ngữ văn, Toán, Lịch sử",GNT,Trường Đại Học Sư Phạm Nghệ Thuật Trung Ương,2ngành
C03,"Ngữ văn, Toán, Lịch sử",HLU,Trường Đại Học Hạ Long,6ngành
C03,"Ngữ văn, Toán, Lịch sử",DKT,Trường Đại Học Hải Dương,14ngành
C03,"Ngữ văn, Toán, Lịch sử",DQB,Trường Đại Học Quảng Bình,4ngành
C03,"Ngữ văn, Toán, Lịch sử",DPQ,Trường Đại Học Phạm Văn Đồng,3ngành
C03,"Ngữ văn, Toán, Lịch sử",HHT,Trường Đại Học Hà Tĩnh,7ngành
C03,"Ngữ văn, Toán, Lịch sử",DMT,Trường Đại học Tài Nguyên và Môi Trường Hà Nội,18ngành
C03,"Ngữ văn, Toán, Lịch sử",DLX,Trường Đại Học Lao Động – Xã Hội,3ngành
C03,"Ngữ văn, Toán, Lịch sử",DBL,Trường Đại Học Bạc Liêu,10ngành
C03,"Ngữ văn, Toán, Lịch sử",DQU,Trường Đại Học Quảng Nam,1ngành
C03,"Ngữ văn, Toán, Lịch sử",DLS,Trường Đại Học Lao Động – Xã Hội (Cơ sở II),1ngành
C03,"Ngữ văn, Toán, Lịch sử",DPY,Trường Đại Học Phú Yên,4ngành
C03,"Ngữ văn, Toán, Lịch sử",DDP,Phân Hiệu Đại Học Đà Nẵng tại Kon Tum,6ngành
C03,"Ngữ văn, Toán, Lịch sử",KCC,Trường Đại học Kỹ Thuật Công Nghệ Cần Thơ,1ngành
C03,"Ngữ văn, Toán, Lịch sử",NLS,Trường Đại Học Nông Lâm TPHCM,2ngành
C03,"Ngữ văn, Toán, Lịch sử",HVC,Học viện cán bộ TPHCM,5ngành
C03,"Ngữ văn, Toán, Lịch sử",SKH,Trường Đại Học Sư Phạm Kỹ Thuật Hưng Yên,23ngành
C03,"Ngữ văn, Toán, Lịch sử",MBS,Trường Đại Học Mở TPHCM,4ngành
C03,"Ngữ văn, Toán, Lịch sử",GTA,Trường Đại học Công nghệ Giao thông vận tải,1ngành
C03,"Ngữ văn, Toán, Lịch sử",MDA,Trường Đại Học Mỏ Địa Chất,16ngành
C03,"Ngữ văn, Toán, Lịch sử",DPD,Trường Đại Học Phương Đông,2ngành
C03,"Ngữ văn, Toán, Lịch sử",VLU,Trường Đại học Công nghệ kỹ thuật Vĩnh Long,40ngành
C03,"Ngữ văn, Toán, Lịch sử",DQK,Trường Đại Học Kinh Doanh và Công Nghệ Hà Nội,4ngành
C03,"Ngữ văn, Toán, Lịch sử",UKH,Trường Đại học Khánh Hòa,8ngành
C03,"Ngữ văn, Toán, Lịch sử",DHI,Khoa Quốc tế - Đại học Huế,3ngành
C03,"Ngữ văn, Toán, Lịch sử",CMC,Trường Đại Học CMC,18ngành
C03,"Ngữ văn, Toán, Lịch sử",NTT,Trường Đại Học Nguyễn Tất Thành,13ngành
C03,"Ngữ văn, Toán, Lịch sử",DHK,Trường Đại Học Kinh Tế - Đại Học Huế,22ngành
C03,"Ngữ văn, Toán, Lịch sử",DTC,Trường Đại học Công Nghệ Thông Tin và Truyền Thông Thái Nguyên,26ngành
C03,"Ngữ văn, Toán, Lịch sử",DDT,Đại Học Duy Tân,14ngành
C03,"Ngữ văn, Toán, Lịch sử",DNC,Trường Đại học Nam Cần Thơ,15ngành
C03,"Ngữ văn, Toán, Lịch sử",HIU,Trường Đại Học Quốc Tế Hồng Bàng,23ngành
C03,"Ngữ văn, Toán, Lịch sử",TTU,Trường Đại học Tân Tạo,2ngành
C03,"Ngữ văn, Toán, Lịch sử",TTD,Trường Đại Học Thể Dục Thể Thao Đà Nẵng,1ngành
C03,"Ngữ văn, Toán, Lịch sử",DCL,Trường Đại Học Cửu Long,13ngành
C03,"Ngữ văn, Toán, Lịch sử",DVL,Trường Đại Học Văn Lang,2ngành
C03,"Ngữ văn, Toán, Lịch sử",DDN,Trường Đại Học Đại Nam,55ngành
C03,"Ngữ văn, Toán, Lịch sử",DAD,Trường Đại Học Đông Á,57ngành
C03,"Ngữ văn, Toán, Lịch sử",VGU,Trường Đại Học Việt Đức,4ngành
C03,"Ngữ văn, Toán, Lịch sử",TLS,Trường Đại Học Thủy Lợi (Cơ sở 2),2ngành
C03,"Ngữ văn, Toán, Lịch sử",SDU,Trường Đại học Sao Đỏ,19ngành
C03,"Ngữ văn, Toán, Lịch sử",NLN,Phân hiệu Đại học Nông Lâm TPHCM tại Ninh Thuận,1ngành
C03,"Ngữ văn, Toán, Lịch sử",DKC,Trường Đại học Công Nghệ TPHCM,58ngành
C03,"Ngữ văn, Toán, Lịch sử",DDU,Trường Đại Học Đông Đô,10ngành
C03,"Ngữ văn, Toán, Lịch sử",DLH,Trường Đại Học Lạc Hồng,16ngành
C03,"Ngữ văn, Toán, Lịch sử",DYD,Trường Đại Học Yersin Đà Lạt,4ngành
C03,"Ngữ văn, Toán, Lịch sử",TDD,Trường Đại học Thành Đô,9ngành
C03,"Ngữ văn, Toán, Lịch sử",DBD,Trường Đại Học Bình Dương,11ngành
C03,"Ngữ văn, Toán, Lịch sử",DTV,Trường Đại Học Lương Thế Vinh,8ngành
C03,"Ngữ văn, Toán, Lịch sử",BVU,Trường Đại Học Bà Rịa – Vũng Tàu,15ngành
